correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
True,0.9986680746078491,0.9986680746078491,0.4826318025588989,0.4826318025588989,vgg16,resnet50,pgd,0.23,27.47408676147461,0.7161406874656677
True,0.9999978542327881,0.9999978542327881,0.8490416407585144,0.8490416407585144,vgg16,resnet50,pgd,0.23,28.21635627746582,0.6534887552261353
False,0.9999802112579346,0.9999802112579346,0.011592741124331951,0.05652596056461334,vgg16,resnet50,pgd,0.23,27.979846954345703,0.6578795313835144
True,0.9998633861541748,0.9998633861541748,0.504031777381897,0.504031777381897,vgg16,resnet50,pgd,0.23,27.285083770751953,0.5384921431541443
True,0.9992606043815613,0.9992606043815613,0.9436339735984802,0.9436339735984802,vgg16,resnet50,pgd,0.23,27.545795440673828,0.6992177963256836
False,0.030664198100566864,0.24286909401416779,0.0011681396281346679,0.7720251083374023,vgg16,resnet50,pgd,0.23,26.861215591430664,0.5185362100601196
False,0.9999357461929321,0.9999357461929321,0.02346126362681389,0.06702633947134018,vgg16,resnet50,pgd,0.23,29.141435623168945,0.6985113620758057
True,0.5261390805244446,0.5261390805244446,0.4676355719566345,0.4676355719566345,vgg16,resnet50,pgd,0.23,27.321149826049805,0.6221346855163574
True,0.9977641105651855,0.9977641105651855,0.9885799288749695,0.9885799288749695,vgg16,resnet50,pgd,0.23,28.329143524169922,0.3860577940940857
True,0.902858555316925,0.902858555316925,0.8318870067596436,0.8318870067596436,vgg16,resnet50,pgd,0.23,27.955156326293945,0.7047786116600037
True,0.9997745156288147,0.9997745156288147,0.8342480659484863,0.8342480659484863,vgg16,resnet50,pgd,0.23,28.61539077758789,0.6411892175674438
True,0.9997931122779846,0.9997931122779846,0.9799128770828247,0.9799128770828247,vgg16,resnet50,pgd,0.23,28.051658630371094,0.644839882850647
True,0.9999915361404419,0.9999915361404419,0.6592528820037842,0.6592528820037842,vgg16,resnet50,pgd,0.23,28.117578506469727,0.6705594062805176
False,0.9990237951278687,0.9990237951278687,0.005267338827252388,0.09121935814619064,vgg16,resnet50,pgd,0.23,27.24582290649414,0.4258210062980652
False,0.15962514281272888,0.2914247214794159,0.002244260162115097,0.2521898150444031,vgg16,resnet50,pgd,0.23,26.80032730102539,0.5033993124961853
False,0.9974873065948486,0.9974873065948486,0.01917903870344162,0.13990339636802673,vgg16,resnet50,pgd,0.23,27.18897247314453,0.4599592685699463
True,0.9984509944915771,0.9984509944915771,0.13930606842041016,0.13930606842041016,vgg16,resnet50,pgd,0.23,28.37715721130371,0.6250592470169067
True,0.7766540050506592,0.7766540050506592,0.6251818537712097,0.6251818537712097,vgg16,resnet50,pgd,0.23,26.642377853393555,0.5089383721351624
True,0.9999963045120239,0.9999963045120239,0.8875409960746765,0.8875409960746765,vgg16,resnet50,pgd,0.23,27.019742965698242,0.581841230392456
False,0.9906614422798157,0.9906614422798157,0.00229839701205492,0.25097835063934326,vgg16,resnet50,pgd,0.23,25.745182037353516,0.42479678988456726
True,0.9999997615814209,0.9999997615814209,0.3478253185749054,0.3478253185749054,vgg16,resnet50,pgd,0.23,28.41945457458496,0.5997027158737183
False,0.9884077906608582,0.9884077906608582,2.1187199308769777e-05,0.9916741251945496,vgg16,resnet50,pgd,0.23,27.858057022094727,0.5859994292259216
False,0.9996256828308105,0.9996256828308105,0.13096919655799866,0.14365774393081665,vgg16,resnet50,pgd,0.23,28.084999084472656,0.593781590461731
True,0.9701827764511108,0.9701827764511108,0.9278305768966675,0.9278305768966675,vgg16,resnet50,pgd,0.23,27.141637802124023,0.6278637647628784
False,0.9454201459884644,0.9454201459884644,0.07947639375925064,0.4732851982116699,vgg16,resnet50,pgd,0.23,26.842239379882812,0.5585737824440002
False,0.9999858140945435,0.9999858140945435,0.028002969920635223,0.11779198795557022,vgg16,resnet50,pgd,0.23,27.437705993652344,0.49119147658348083
True,0.9997696280479431,0.9997696280479431,0.528853714466095,0.528853714466095,vgg16,resnet50,pgd,0.23,27.47719955444336,0.6229304075241089
True,0.9992350339889526,0.9992350339889526,0.5004750490188599,0.5004750490188599,vgg16,resnet50,pgd,0.23,26.948955535888672,0.5865119695663452
False,0.9999760389328003,0.9999760389328003,0.022914620116353035,0.2951579689979553,vgg16,resnet50,pgd,0.23,27.94597816467285,0.512446403503418
False,0.9999938011169434,0.9999938011169434,0.0016210759058594704,0.9615505337715149,vgg16,resnet50,pgd,0.23,27.410558700561523,0.6596805453300476
False,0.9999996423721313,0.9999996423721313,0.008811064064502716,0.16848617792129517,vgg16,resnet50,pgd,0.23,27.818693161010742,0.4155516028404236
True,1.0,1.0,0.9196759462356567,0.9196759462356567,vgg16,resnet50,pgd,0.23,27.455339431762695,0.553900420665741
False,0.9962365031242371,0.9962365031242371,0.013055712915956974,0.22448721528053284,vgg16,resnet50,pgd,0.23,29.192237854003906,0.8262240290641785
True,0.9990652203559875,0.9990652203559875,0.47191521525382996,0.47191521525382996,vgg16,resnet50,pgd,0.23,25.592872619628906,0.3705693483352661
False,0.9953802824020386,0.9953802824020386,0.19368800520896912,0.4471837282180786,vgg16,resnet50,pgd,0.23,26.043781280517578,0.5416305065155029
False,0.9999877214431763,0.9999877214431763,0.01696597784757614,0.06057019159197807,vgg16,resnet50,pgd,0.23,26.705116271972656,0.6022724509239197
False,0.9152818918228149,0.9152818918228149,0.00032694099354557693,0.9911758899688721,vgg16,resnet50,pgd,0.23,27.332408905029297,0.585289716720581
