adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
True,0.9992350339889526,0.9992350339889526,0.994307816028595,0.994307816028595,vgg16,resnet50,pgd,0.09,12.384737014770508,0.8414131999015808,True
True,0.9999760389328004,0.9999760389328004,0.9873273968696594,0.9873273968696594,vgg16,resnet50,pgd,0.09,11.76076602935791,0.8178170919418335,True
True,0.9999938011169434,0.9999938011169434,0.9393644332885742,0.9393644332885742,vgg16,resnet50,pgd,0.09,12.36232852935791,0.894121527671814,True
True,0.9999996423721312,0.9999996423721312,0.9737226366996764,0.9737226366996764,vgg16,resnet50,pgd,0.09,11.974653244018556,0.7533169984817505,True
True,1.0,1.0,0.9913548827171326,0.9913548827171326,vgg16,resnet50,pgd,0.09,12.393476486206056,0.8181907534599304,True
False,0.9962365031242372,0.9962365031242372,0.2888540625572204,0.6932018399238586,vgg16,resnet50,pgd,0.09,13.532670021057127,0.9493991136550904,True
True,0.9990652203559875,0.9990652203559875,0.6382274031639099,0.6382274031639099,vgg16,resnet50,pgd,0.09,11.239753723144531,0.6885955333709717,True
True,0.9953802824020386,0.9953802824020386,0.9849211573600768,0.9849211573600768,vgg16,resnet50,pgd,0.09,11.480568885803224,0.8306525945663452,True
True,0.9999877214431764,0.9999877214431764,0.9963669776916504,0.9963669776916504,vgg16,resnet50,pgd,0.09,12.158636093139648,0.851413905620575,True
False,0.9152818918228148,0.9152818918228148,0.0003083768824581,0.9975430965423584,vgg16,resnet50,pgd,0.09,12.049493789672852,0.8612321615219116,True
True,0.9999494552612304,0.9999494552612304,0.9698246717453004,0.9698246717453004,vgg16,resnet50,pgd,0.09,12.940824508666992,0.9092003107070924,True
True,0.9993858337402344,0.9993858337402344,0.9859539866447448,0.9859539866447448,vgg16,resnet50,pgd,0.09,11.988983154296877,0.8134783506393433,True
True,0.9997549653053284,0.9997549653053284,0.944430649280548,0.944430649280548,vgg16,resnet50,pgd,0.09,11.91331958770752,0.8232240080833435,True
True,0.9999982118606568,0.9999982118606568,0.994127631187439,0.994127631187439,vgg16,resnet50,pgd,0.09,12.72130298614502,0.8974922895431519,True
True,0.9417413473129272,0.9417413473129272,0.9835861325263976,0.9835861325263976,vgg16,resnet50,pgd,0.09,12.033681869506836,0.7962493300437927,True
True,0.9999994039535522,0.9999994039535522,0.9915140867233276,0.9915140867233276,vgg16,resnet50,pgd,0.09,11.777563095092772,0.8230109214782715,True
True,0.998372495174408,0.998372495174408,0.9499070048332214,0.9499070048332214,vgg16,resnet50,pgd,0.09,12.15926742553711,0.8432289361953735,True
False,0.0353911705315113,0.1467952728271484,0.0002238158631371,0.9012836813926696,vgg16,resnet50,pgd,0.09,11.157072067260742,0.7572135925292969,True
True,0.9999790191650392,0.9999790191650392,0.998690903186798,0.998690903186798,vgg16,resnet50,pgd,0.09,12.277575492858888,0.8748859167098999,True
True,1.0,1.0,0.9838269352912904,0.9838269352912904,vgg16,resnet50,pgd,0.09,12.124056816101074,0.8403722643852234,True
True,0.8666437268257141,0.8666437268257141,0.7257839441299438,0.7257839441299438,vgg16,resnet50,pgd,0.09,11.8328275680542,0.7802056670188904,True
