adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.5025231242179871,0.5025231242179871,0.0039041996933519,0.082827128469944,vgg16,resnet50,fgsm,0.21,72.19882202148438,0.1639788895845413,True
False,0.9999996423721312,0.9999996423721312,0.1143667250871658,0.3105425834655761,vgg16,resnet50,fgsm,0.21,80.25418090820312,0.3131037354469299,True
False,7.049609121168032e-05,0.900926411151886,0.0012045432813465,0.4237251877784729,vgg16,resnet50,fgsm,0.21,76.84455108642578,0.051626443862915,False
False,0.0028666597791016,0.9951203465461732,0.0023165699094533,0.1540282815694809,vgg16,resnet50,fgsm,0.21,76.68647766113281,0.0997448116540908,True
False,0.9724389910697936,0.9724389910697936,0.0082650138065218,0.1268856674432754,vgg16,resnet50,fgsm,0.21,73.44009399414062,0.1739959120750427,True
False,0.9648182988166808,0.9648182988166808,0.0063027250580489,0.0924474000930786,vgg16,resnet50,fgsm,0.21,76.57052612304688,0.2917555570602417,True
False,0.9997915625572203,0.9997915625572203,0.0053232191130518,0.0573099963366985,vgg16,resnet50,fgsm,0.21,79.57405853271484,0.312778890132904,True
False,0.8028460144996643,0.8028460144996643,0.0101176127791404,0.0370868220925331,vgg16,resnet50,fgsm,0.21,78.79090881347656,0.1360181868076324,True
False,0.9999998807907104,0.9999998807907104,0.0188552644103765,0.0614643543958663,vgg16,resnet50,fgsm,0.21,75.76531219482422,0.2565453648567199,True
False,0.3763781487941742,0.3763781487941742,0.0042414427734911,0.1001822352409362,vgg16,resnet50,fgsm,0.21,75.7919692993164,0.3117565512657165,True
False,0.9999585151672364,0.9999585151672364,0.0055926307104527,0.0390368737280368,vgg16,resnet50,fgsm,0.21,78.34832763671875,0.2850325107574463,True
False,0.9981537461280824,0.9981537461280824,0.020624304190278,0.0650795474648475,vgg16,resnet50,fgsm,0.21,74.06718444824219,0.1479451656341552,True
False,0.9999006986618042,0.9999006986618042,0.0496801771223545,0.1005589067935943,vgg16,resnet50,fgsm,0.21,72.95291137695312,0.1129055619239807,True
False,0.8737043738365173,0.8737043738365173,0.004577346611768,0.1277369856834411,vgg16,resnet50,fgsm,0.21,77.05778503417969,0.2741332650184631,True
False,0.7817691564559937,0.7817691564559937,0.0097002685070037,0.0999742597341537,vgg16,resnet50,fgsm,0.21,78.43711853027344,0.1655966341495514,True
False,0.997808873653412,0.997808873653412,0.0038940492086112,0.4071901738643646,vgg16,resnet50,fgsm,0.21,76.58259582519531,0.1003763303160667,True
False,0.995284616947174,0.995284616947174,0.0098895542323589,0.1857335716485977,vgg16,resnet50,fgsm,0.21,75.44313049316406,0.2130266427993774,True
False,0.99999737739563,0.99999737739563,0.0065106097608804,0.0974559560418129,vgg16,resnet50,fgsm,0.21,80.20242309570312,0.2560480237007141,True
False,0.8191302418708801,0.8191302418708801,0.0035020031500607,0.1154045984148979,vgg16,resnet50,fgsm,0.21,77.98062896728516,0.1397987455129623,True
False,0.9521934390068054,0.9521934390068054,0.0025399902369827,0.0685445964336395,vgg16,resnet50,fgsm,0.21,78.08302307128906,0.2288436144590377,True
False,0.9993066787719728,0.9993066787719728,0.005233122035861,0.1172995120286941,vgg16,resnet50,fgsm,0.21,72.65042877197266,0.1726852506399154,True
False,0.709652841091156,0.709652841091156,0.0070234476588666,0.0556140393018722,vgg16,resnet50,fgsm,0.21,77.62299346923828,0.3315508961677551,True
False,0.987467348575592,0.987467348575592,0.00406364351511,0.0597831159830093,vgg16,resnet50,fgsm,0.21,70.79444122314453,0.1701564043760299,True
False,0.9912034273147584,0.9912034273147584,0.0032925605773925,0.0722010135650634,vgg16,resnet50,fgsm,0.21,72.56297302246094,0.1865900009870529,True
False,0.9204373359680176,0.9204373359680176,0.0182215329259634,0.1858211755752563,vgg16,resnet50,fgsm,0.21,78.9816665649414,0.1394297480583191,True
False,0.9994538426399232,0.9994538426399232,0.0032372889108955,0.2697864472866058,vgg16,resnet50,fgsm,0.21,77.21868896484375,0.1692668795585632,True
False,0.9988964796066284,0.9988964796066284,0.0024637333117425,0.2169683277606964,vgg16,resnet50,fgsm,0.21,73.66059112548828,0.1093712896108627,True
False,0.9998884201049804,0.9998884201049804,0.0064193871803581,0.0434449203312397,vgg16,resnet50,fgsm,0.21,76.3045425415039,0.1935752630233764,True
False,0.6400641202926636,0.6400641202926636,0.0050959400832653,0.0560675747692585,vgg16,resnet50,fgsm,0.21,77.9347152709961,0.2535476982593536,True
False,0.991192638874054,0.991192638874054,0.0081252818927168,0.1105786263942718,vgg16,resnet50,fgsm,0.21,78.89468383789062,0.2028115391731262,True
False,0.9992658495903016,0.9992658495903016,0.0090918764472007,0.0434531643986702,vgg16,resnet50,fgsm,0.21,77.17806243896484,0.158901184797287,True
False,0.1034164130687713,0.1107868328690528,0.007221161853522,0.0593803785741329,vgg16,resnet50,fgsm,0.21,78.80538940429688,0.1683289110660553,True
False,0.9997262358665466,0.9997262358665466,0.0038310759700834,0.1521102488040924,vgg16,resnet50,fgsm,0.21,77.6993408203125,0.1285368651151657,True
False,0.9746479988098145,0.9746479988098145,0.0012722759274765,0.7161202430725098,vgg16,resnet50,fgsm,0.21,73.17242431640625,0.2038029730319976,True
True,0.999996781349182,0.999996781349182,0.1746155023574829,0.1746155023574829,vgg16,resnet50,fgsm,0.21,78.5824966430664,0.1568720340728759,True
False,0.9274460673332214,0.9274460673332214,0.0047123483382165,0.0461496375501155,vgg16,resnet50,fgsm,0.21,77.48281860351562,0.314449280500412,True
False,0.9960441589355468,0.9960441589355468,0.0052120056934654,0.0626200065016746,vgg16,resnet50,fgsm,0.21,79.52742004394531,0.2944584488868713,True
False,0.9823034405708312,0.9823034405708312,0.0058052358217537,0.0715693533420562,vgg16,resnet50,fgsm,0.21,67.52711486816406,0.1000637039542198,True
False,0.9999897480010986,0.9999897480010986,0.0529174171388149,0.0864235609769821,vgg16,resnet50,fgsm,0.21,77.25804138183594,0.1640171110630035,True
False,0.9998358488082886,0.9998358488082886,0.0035992078483104,0.0537363216280937,vgg16,resnet50,fgsm,0.21,76.5208511352539,0.2788258194923401,True
False,0.3986987769603729,0.3986987769603729,0.0042244936339557,0.0441611148416996,vgg16,resnet50,fgsm,0.21,78.0478286743164,0.2494020760059356,True
False,0.9999116659164428,0.9999116659164428,0.0126860802993178,0.069105789065361,vgg16,resnet50,fgsm,0.21,80.08804321289062,0.1792745888233184,True
False,0.989823043346405,0.989823043346405,0.0072163804434239,0.1369327902793884,vgg16,resnet50,fgsm,0.21,76.82159423828125,0.177637904882431,True
True,0.9438236951828004,0.9438236951828004,0.7833172082901001,0.7833172082901001,vgg16,resnet50,fgsm,0.21,70.07421875,0.2257131189107895,True
False,0.9999542236328124,0.9999542236328124,0.0262266658246517,0.0789501667022705,vgg16,resnet50,fgsm,0.21,78.7087631225586,0.2172832787036895,True
True,0.999987244606018,0.999987244606018,0.4393289387226105,0.4393289387226105,vgg16,resnet50,fgsm,0.21,77.36996459960938,0.2989502549171448,True
False,0.9974479675292968,0.9974479675292968,0.0053119640797376,0.0431943461298942,vgg16,resnet50,fgsm,0.21,77.06886291503906,0.2108148038387298,True
False,0.997343361377716,0.997343361377716,0.0036016488447785,0.1529929935932159,vgg16,resnet50,fgsm,0.21,77.99559020996094,0.1272989213466644,True
False,0.9537243843078612,0.9537243843078612,0.0061567011289298,0.0935782045125961,vgg16,resnet50,fgsm,0.21,74.62665557861328,0.1709150969982147,True
