correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
True,0.9859511256217957,0.9859511256217957,0.11809394508600235,0.11809394508600235,resnet50,vgg16,fgsm,0.15,54.57768249511719,0.4257774353027344
False,0.9856581091880798,0.9856581091880798,0.010506519116461277,0.13562695682048798,resnet50,vgg16,fgsm,0.15,57.27516555786133,0.3478797376155853
True,0.9748320579528809,0.9748320579528809,0.28465819358825684,0.28465819358825684,resnet50,vgg16,fgsm,0.15,56.19551467895508,0.3606630265712738
False,0.9967948794364929,0.9967948794364929,0.006048537790775299,0.10051851719617844,resnet50,vgg16,fgsm,0.15,56.60300064086914,0.2419721484184265
False,0.9890475869178772,0.9890475869178772,0.011257609352469444,0.19770169258117676,resnet50,vgg16,fgsm,0.15,55.03417205810547,0.38107872009277344
False,0.9987567663192749,0.9987567663192749,0.019239516928792,0.1259979009628296,resnet50,vgg16,fgsm,0.15,55.55207824707031,0.22001445293426514
True,0.9959398508071899,0.9959398508071899,0.24341000616550446,0.24341000616550446,resnet50,vgg16,fgsm,0.15,57.58531951904297,0.38836991786956787
False,0.9934543371200562,0.9934543371200562,0.060174066573381424,0.08068208396434784,resnet50,vgg16,fgsm,0.15,57.30146789550781,0.31985464692115784
False,0.9804065227508545,0.9804065227508545,0.060298092663288116,0.18342484533786774,resnet50,vgg16,fgsm,0.15,57.73906326293945,0.1675577461719513
False,0.9984664916992188,0.9984664916992188,0.06698931753635406,0.18029622733592987,resnet50,vgg16,fgsm,0.15,55.36906051635742,0.42531466484069824
False,0.9960901141166687,0.9960901141166687,0.011227262206375599,0.23401911556720734,resnet50,vgg16,fgsm,0.15,57.72577667236328,0.33272725343704224
False,0.9962515234947205,0.9962515234947205,0.2041601985692978,0.24560795724391937,resnet50,vgg16,fgsm,0.15,56.471160888671875,0.3253331184387207
False,0.9985600113868713,0.9985600113868713,0.061396896839141846,0.15653032064437866,resnet50,vgg16,fgsm,0.15,56.336727142333984,0.3476369380950928
False,0.9903799295425415,0.9903799295425415,0.020426208153367043,0.16708874702453613,resnet50,vgg16,fgsm,0.15,56.01245880126953,0.17716830968856812
False,0.8287179470062256,0.8287179470062256,0.013585408218204975,0.12910692393779755,resnet50,vgg16,fgsm,0.15,55.129398345947266,0.23323729634284973
False,0.9905347228050232,0.9905347228050232,0.03490767627954483,0.09434815496206284,resnet50,vgg16,fgsm,0.15,56.61115264892578,0.18000522255897522
False,0.9944314360618591,0.9944314360618591,0.00442688912153244,0.11163987964391708,resnet50,vgg16,fgsm,0.15,55.407588958740234,0.3447067141532898
False,0.9755632877349854,0.9755632877349854,0.00038231542566791177,0.5853433012962341,resnet50,vgg16,fgsm,0.15,49.72250747680664,0.26993638277053833
False,0.9897451996803284,0.9897451996803284,0.018420767039060593,0.1624547690153122,resnet50,vgg16,fgsm,0.15,54.13515090942383,0.2853371798992157
False,0.9838902354240417,0.9838902354240417,0.007783889304846525,0.26268115639686584,resnet50,vgg16,fgsm,0.15,52.73329544067383,0.16122914850711823
False,0.9927219748497009,0.9927219748497009,0.04823838546872139,0.0902678519487381,resnet50,vgg16,fgsm,0.15,57.59257507324219,0.2940570116043091
False,0.9980859756469727,0.9980859756469727,0.0014717509038746357,0.14168182015419006,resnet50,vgg16,fgsm,0.15,57.12123489379883,0.2875864803791046
False,0.995461642742157,0.995461642742157,0.05263600870966911,0.49789679050445557,resnet50,vgg16,fgsm,0.15,56.56623458862305,0.2920006513595581
False,0.9979925155639648,0.9979925155639648,0.028786135837435722,0.4203333556652069,resnet50,vgg16,fgsm,0.15,55.33802032470703,0.31600847840309143
False,0.9941394329071045,0.9941394329071045,0.001154344528913498,0.31320053339004517,resnet50,vgg16,fgsm,0.15,54.02273941040039,0.2704138159751892
True,0.9956134557723999,0.9956134557723999,0.0881008505821228,0.0881008505821228,resnet50,vgg16,fgsm,0.15,57.50352478027344,0.22430148720741272
False,0.9908316731452942,0.9908316731452942,0.013521724380552769,0.12391369044780731,resnet50,vgg16,fgsm,0.15,56.75521469116211,0.29833564162254333
False,0.9967833757400513,0.9967833757400513,0.011284352280199528,0.5581202507019043,resnet50,vgg16,fgsm,0.15,54.16006851196289,0.3060092031955719
True,0.9971505999565125,0.9971505999565125,0.23148828744888306,0.23148828744888306,resnet50,vgg16,fgsm,0.15,56.1480827331543,0.24442800879478455
False,0.9925561547279358,0.9925561547279358,0.11289289593696594,0.4038846492767334,resnet50,vgg16,fgsm,0.15,54.618324279785156,0.34609830379486084
False,0.9845361113548279,0.9845361113548279,0.00654484611004591,0.4557963013648987,resnet50,vgg16,fgsm,0.15,57.61574935913086,0.16234414279460907
True,0.9854265451431274,0.9854265451431274,0.8290145397186279,0.8290145397186279,resnet50,vgg16,fgsm,0.15,55.102359771728516,0.2892650365829468
False,0.991421639919281,0.991421639919281,0.11684170365333557,0.13784724473953247,resnet50,vgg16,fgsm,0.15,57.191505432128906,0.5810875296592712
False,0.9941806197166443,0.9941806197166443,0.008116958662867546,0.10754512250423431,resnet50,vgg16,fgsm,0.15,49.951507568359375,0.16120007634162903
True,0.9925285577774048,0.9925285577774048,0.1761770397424698,0.1761770397424698,resnet50,vgg16,fgsm,0.15,51.67690658569336,0.25208210945129395
False,0.9932265877723694,0.9932265877723694,0.005099821835756302,0.13382773101329803,resnet50,vgg16,fgsm,0.15,54.064613342285156,0.31957003474235535
False,0.9992368221282959,0.9992368221282959,0.012112267315387726,0.44463902711868286,resnet50,vgg16,fgsm,0.15,57.47885513305664,0.25389355421066284
False,0.995278000831604,0.995278000831604,0.014382917433977127,0.5930125713348389,resnet50,vgg16,fgsm,0.15,56.095088958740234,0.37753862142562866
True,0.9971703886985779,0.9971703886985779,0.5259989500045776,0.5259989500045776,resnet50,vgg16,fgsm,0.15,56.52793884277344,0.22730354964733124
False,0.9922803640365601,0.9922803640365601,0.006341936532407999,0.09845931828022003,resnet50,vgg16,fgsm,0.15,57.51837158203125,0.22542938590049744
True,0.9916898012161255,0.9916898012161255,0.5961477756500244,0.5961477756500244,resnet50,vgg16,fgsm,0.15,54.91973114013672,0.3892119824886322
False,0.9963602423667908,0.9963602423667908,0.003002943703904748,0.29277828335762024,resnet50,vgg16,fgsm,0.15,54.40382385253906,0.27382051944732666
False,0.9931047558784485,0.9931047558784485,0.008853568695485592,0.08446668088436127,resnet50,vgg16,fgsm,0.15,56.43492889404297,0.20825302600860596
False,0.980851948261261,0.980851948261261,0.03786890208721161,0.39179718494415283,resnet50,vgg16,fgsm,0.15,55.845272064208984,0.2904779314994812
False,0.41422033309936523,0.41422033309936523,0.0008566027972847223,0.40674492716789246,resnet50,vgg16,fgsm,0.15,53.8167724609375,0.14396804571151733
False,0.9861201047897339,0.9861201047897339,0.12939462065696716,0.1711367964744568,resnet50,vgg16,fgsm,0.15,55.99590301513672,0.33005550503730774
False,0.9880762100219727,0.9880762100219727,0.02499380148947239,0.13827770948410034,resnet50,vgg16,fgsm,0.15,54.394630432128906,0.2610374689102173
False,0.9983874559402466,0.9983874559402466,0.014820643700659275,0.2973927855491638,resnet50,vgg16,fgsm,0.15,55.57083511352539,0.20386271178722382
False,0.9903793334960938,0.9903793334960938,0.028635423630475998,0.15599605441093445,resnet50,vgg16,fgsm,0.15,55.20263671875,0.22837772965431213
False,0.9944390058517456,0.9944390058517456,0.009307731874287128,0.12656855583190918,resnet50,vgg16,fgsm,0.15,54.38037872314453,0.31646251678466797
False,0.9840993881225586,0.9840993881225586,0.011830086819827557,0.11939885467290878,resnet50,vgg16,fgsm,0.15,55.38014602661133,0.20263409614562988
False,0.9691064953804016,0.9691064953804016,0.08979745209217072,0.152955561876297,resnet50,vgg16,fgsm,0.15,56.59082794189453,0.5375493764877319
False,0.99735426902771,0.99735426902771,0.0034428024664521217,0.7845491766929626,resnet50,vgg16,fgsm,0.15,56.67791748046875,0.43510353565216064
False,0.9895825386047363,0.9895825386047363,0.02251484803855419,0.318889319896698,resnet50,vgg16,fgsm,0.15,57.11860656738281,0.3694983422756195
False,0.9984810948371887,0.9984810948371887,0.06419249624013901,0.3038763999938965,resnet50,vgg16,fgsm,0.15,54.532447814941406,0.43706977367401123
False,0.9663552641868591,0.9663552641868591,0.0026018358767032623,0.142633318901062,resnet50,vgg16,fgsm,0.15,56.5115852355957,0.20512643456459045
False,0.9990822076797485,0.9990822076797485,0.010071998462080956,0.14217878878116608,resnet50,vgg16,fgsm,0.15,57.303810119628906,0.19619779288768768
False,0.9924300312995911,0.9924300312995911,0.02779455855488777,0.16343525052070618,resnet50,vgg16,fgsm,0.15,57.61133575439453,0.4495812654495239
False,0.9940618872642517,0.9940618872642517,0.05295513570308685,0.4197537899017334,resnet50,vgg16,fgsm,0.15,56.898128509521484,0.4330848157405853
False,0.9962146878242493,0.9962146878242493,0.004459170158952475,0.19640687108039856,resnet50,vgg16,fgsm,0.15,55.108367919921875,0.2951622009277344
False,0.9958385229110718,0.9958385229110718,0.10835641622543335,0.17715202271938324,resnet50,vgg16,fgsm,0.15,56.45450973510742,0.20788757503032684
False,0.9415212869644165,0.9415212869644165,0.0012989167589694262,0.12015984952449799,resnet50,vgg16,fgsm,0.15,58.14146041870117,0.08865606039762497
