correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
True,0.9859511256217957,0.9859511256217957,0.239100843667984,0.239100843667984,resnet50,vgg16,fgsm,0.13,47.58506393432617,0.48162174224853516
False,0.9856581091880798,0.9856581091880798,0.018495583906769753,0.27255478501319885,resnet50,vgg16,fgsm,0.13,49.84296798706055,0.40271851420402527
True,0.9748320579528809,0.9748320579528809,0.39384689927101135,0.39384689927101135,resnet50,vgg16,fgsm,0.13,49.05840301513672,0.4152740240097046
False,0.9967948794364929,0.9967948794364929,0.01911458745598793,0.1258285641670227,resnet50,vgg16,fgsm,0.13,49.322811126708984,0.28707313537597656
False,0.9890475869178772,0.9890475869178772,0.07996996492147446,0.15993115305900574,resnet50,vgg16,fgsm,0.13,48.202823638916016,0.44090622663497925
False,0.9987567663192749,0.9987567663192749,0.037297625094652176,0.1679537147283554,resnet50,vgg16,fgsm,0.13,48.29574203491211,0.26448842883110046
True,0.9959398508071899,0.9959398508071899,0.6703444123268127,0.6703444123268127,resnet50,vgg16,fgsm,0.13,50.04136657714844,0.4498136043548584
True,0.9934543371200562,0.9934543371200562,0.19630244374275208,0.19630244374275208,resnet50,vgg16,fgsm,0.13,49.80353546142578,0.3702799677848816
True,0.9804065227508545,0.9804065227508545,0.20497772097587585,0.20497772097587585,resnet50,vgg16,fgsm,0.13,50.12458419799805,0.198303684592247
False,0.9984664916992188,0.9984664916992188,0.13667936623096466,0.16352935135364532,resnet50,vgg16,fgsm,0.13,48.328330993652344,0.4816123843193054
False,0.9960901141166687,0.9960901141166687,0.009019022807478905,0.4397844970226288,resnet50,vgg16,fgsm,0.13,50.159751892089844,0.3893619775772095
False,0.9962515234947205,0.9962515234947205,0.25664058327674866,0.2866055369377136,resnet50,vgg16,fgsm,0.13,49.19285202026367,0.38171181082725525
True,0.9985600113868713,0.9985600113868713,0.2671794891357422,0.2671794891357422,resnet50,vgg16,fgsm,0.13,49.106204986572266,0.40729737281799316
False,0.9903799295425415,0.9903799295425415,0.05610102787613869,0.09181347489356995,resnet50,vgg16,fgsm,0.13,48.99196243286133,0.21129998564720154
False,0.8287179470062256,0.8287179470062256,0.012902985326945782,0.1563534289598465,resnet50,vgg16,fgsm,0.13,48.22695541381836,0.2717819809913635
False,0.9905347228050232,0.9905347228050232,0.07867765426635742,0.09982430934906006,resnet50,vgg16,fgsm,0.13,49.547508239746094,0.21748137474060059
False,0.9944314360618591,0.9944314360618591,0.008036221377551556,0.15087702870368958,resnet50,vgg16,fgsm,0.13,48.277862548828125,0.3949458599090576
False,0.9755632877349854,0.9755632877349854,0.0015426573809236288,0.47207072377204895,resnet50,vgg16,fgsm,0.13,43.15910720825195,0.31459710001945496
False,0.9897451996803284,0.9897451996803284,0.012479180470108986,0.2685118019580841,resnet50,vgg16,fgsm,0.13,47.172306060791016,0.33570241928100586
False,0.9838902354240417,0.9838902354240417,0.016565991565585136,0.3235456049442291,resnet50,vgg16,fgsm,0.13,46.317161560058594,0.19530320167541504
True,0.9927219748497009,0.9927219748497009,0.09451505541801453,0.09451505541801453,resnet50,vgg16,fgsm,0.13,50.04962921142578,0.34609270095825195
False,0.9980859756469727,0.9980859756469727,0.0007257554680109024,0.2147020846605301,resnet50,vgg16,fgsm,0.13,49.79893112182617,0.33823227882385254
False,0.995461642742157,0.995461642742157,0.17913445830345154,0.30184993147850037,resnet50,vgg16,fgsm,0.13,49.27928161621094,0.3437057137489319
False,0.9979925155639648,0.9979925155639648,0.04164304956793785,0.545764684677124,resnet50,vgg16,fgsm,0.13,48.37622833251953,0.3672349452972412
False,0.9941394329071045,0.9941394329071045,0.0015781455440446734,0.5076571106910706,resnet50,vgg16,fgsm,0.13,47.19857406616211,0.3161144256591797
True,0.9956134557723999,0.9956134557723999,0.12615062296390533,0.12615062296390533,resnet50,vgg16,fgsm,0.13,49.96640396118164,0.2639316916465759
False,0.9908316731452942,0.9908316731452942,0.013861941173672676,0.16557183861732483,resnet50,vgg16,fgsm,0.13,49.40156936645508,0.3522193431854248
False,0.9967833757400513,0.9967833757400513,0.01672123558819294,0.6401471495628357,resnet50,vgg16,fgsm,0.13,47.324485778808594,0.353610098361969
True,0.9971505999565125,0.9971505999565125,0.272942453622818,0.272942453622818,resnet50,vgg16,fgsm,0.13,48.95641326904297,0.2864520251750946
False,0.9925561547279358,0.9925561547279358,0.2732691168785095,0.3528446555137634,resnet50,vgg16,fgsm,0.13,47.69648361206055,0.40517470240592957
False,0.9845361113548279,0.9845361113548279,0.013100655749440193,0.6290410161018372,resnet50,vgg16,fgsm,0.13,50.132266998291016,0.19662442803382874
True,0.9854265451431274,0.9854265451431274,0.9769856929779053,0.9769856929779053,resnet50,vgg16,fgsm,0.13,48.150169372558594,0.334061861038208
True,0.991421639919281,0.991421639919281,0.1791801154613495,0.1791801154613495,resnet50,vgg16,fgsm,0.13,49.70613479614258,0.6392093896865845
