correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
True,0.9859511256217957,0.9859511256217957,0.9988893866539001,0.9988893866539001,resnet50,vgg16,pgd,0.03,7.837673664093018,0.9553725123405457
True,0.9856581091880798,0.9856581091880798,0.9999775886535645,0.9999775886535645,resnet50,vgg16,pgd,0.03,7.9790215492248535,0.9435386061668396
True,0.9748320579528809,0.9748320579528809,0.9990677237510681,0.9990677237510681,resnet50,vgg16,pgd,0.03,7.931368350982666,0.9429675936698914
True,0.9967948794364929,0.9967948794364929,0.9930835962295532,0.9930835962295532,resnet50,vgg16,pgd,0.03,7.923159599304199,0.8994274139404297
True,0.9890475869178772,0.9890475869178772,0.999779999256134,0.999779999256134,resnet50,vgg16,pgd,0.03,7.844808578491211,0.9562846422195435
False,0.9987567663192749,0.9987567663192749,0.08325976133346558,0.23665153980255127,resnet50,vgg16,pgd,0.03,7.740152359008789,0.8980140686035156
True,0.9959398508071899,0.9959398508071899,0.9961859583854675,0.9961859583854675,resnet50,vgg16,pgd,0.03,8.011058807373047,0.9593490958213806
True,0.9934543371200562,0.9934543371200562,0.8566707372665405,0.8566707372665405,resnet50,vgg16,pgd,0.03,7.885249614715576,0.9294549822807312
True,0.9804065227508545,0.9804065227508545,0.9923573732376099,0.9923573732376099,resnet50,vgg16,pgd,0.03,7.838219165802002,0.832077145576477
True,0.9984664916992188,0.9984664916992188,0.8407649397850037,0.8407649397850037,resnet50,vgg16,pgd,0.03,7.927292346954346,0.9484400749206543
True,0.9960901141166687,0.9960901141166687,0.9955537915229797,0.9955537915229797,resnet50,vgg16,pgd,0.03,7.980648517608643,0.9394637942314148
True,0.9962515234947205,0.9962515234947205,0.9992116689682007,0.9992116689682007,resnet50,vgg16,pgd,0.03,7.943192005157471,0.9469485282897949
True,0.9985600113868713,0.9985600113868713,0.9999833106994629,0.9999833106994629,resnet50,vgg16,pgd,0.03,7.901630878448486,0.9535093307495117
True,0.9903799295425415,0.9903799295425415,0.8836864829063416,0.8836864829063416,resnet50,vgg16,pgd,0.03,7.8206963539123535,0.8498288989067078
False,0.8287179470062256,0.8287179470062256,0.12794938683509827,0.303862065076828,resnet50,vgg16,pgd,0.03,7.832450866699219,0.8755791187286377
True,0.9905347228050232,0.9905347228050232,0.7764998078346252,0.7764998078346252,resnet50,vgg16,pgd,0.03,7.87408447265625,0.8771659731864929
True,0.9944314360618591,0.9944314360618591,0.994151771068573,0.994151771068573,resnet50,vgg16,pgd,0.03,7.859621524810791,0.9297633171081543
False,0.9755632877349854,0.9755632877349854,0.3962506055831909,0.49958336353302,resnet50,vgg16,pgd,0.03,7.6311445236206055,0.9063407182693481
True,0.9897451996803284,0.9897451996803284,0.99989914894104,0.99989914894104,resnet50,vgg16,pgd,0.03,7.754406452178955,0.920634388923645
True,0.9838902354240417,0.9838902354240417,0.9592992663383484,0.9592992663383484,resnet50,vgg16,pgd,0.03,7.808775901794434,0.8491663336753845
True,0.9927219748497009,0.9927219748497009,0.9999701976776123,0.9999701976776123,resnet50,vgg16,pgd,0.03,7.975644588470459,0.9302842020988464
True,0.9980859756469727,0.9980859756469727,0.9206661581993103,0.9206661581993103,resnet50,vgg16,pgd,0.03,7.895012378692627,0.922482967376709
True,0.995461642742157,0.995461642742157,0.99834144115448,0.99834144115448,resnet50,vgg16,pgd,0.03,7.904508590698242,0.9302998781204224
True,0.9979925155639648,0.9979925155639648,0.9300540089607239,0.9300540089607239,resnet50,vgg16,pgd,0.03,7.995682716369629,0.933458685874939
True,0.9941394329071045,0.9941394329071045,0.8981835842132568,0.8981835842132568,resnet50,vgg16,pgd,0.03,7.848561763763428,0.9077701568603516
True,0.9956134557723999,0.9956134557723999,0.9987704157829285,0.9987704157829285,resnet50,vgg16,pgd,0.03,7.863617420196533,0.8809635043144226
True,0.9908316731452942,0.9908316731452942,0.9983934760093689,0.9983934760093689,resnet50,vgg16,pgd,0.03,7.884836673736572,0.9349093437194824
