correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
False,0.9986680746078491,0.9986680746078491,0.016983896493911743,0.29271647334098816,vgg16,resnet50,pgd,0.21,30.160560607910156,0.7072481513023376
True,0.9999978542327881,0.9999978542327881,0.927653968334198,0.927653968334198,vgg16,resnet50,pgd,0.21,30.143341064453125,0.6577022075653076
False,0.9999802112579346,0.9999802112579346,0.007158324588090181,0.05327999219298363,vgg16,resnet50,pgd,0.21,30.927339553833008,0.6455310583114624
False,0.9998633861541748,0.9998633861541748,0.007257165387272835,0.7038026452064514,vgg16,resnet50,pgd,0.21,29.013227462768555,0.5500122308731079
False,0.9992606043815613,0.9992606043815613,0.0019776783883571625,0.9885507225990295,vgg16,resnet50,pgd,0.21,30.90806770324707,0.6805906295776367
False,0.030664198100566864,0.24286909401416779,0.00496687414124608,0.28113657236099243,vgg16,resnet50,pgd,0.21,28.217906951904297,0.5361456871032715
False,0.9999357461929321,0.9999357461929321,0.012088768184185028,0.18079140782356262,vgg16,resnet50,pgd,0.21,32.505001068115234,0.6834138631820679
False,0.5261390805244446,0.5261390805244446,0.08031004667282104,0.4066793620586395,vgg16,resnet50,pgd,0.21,28.97840690612793,0.6326631903648376
False,0.9977641105651855,0.9977641105651855,0.0669579803943634,0.8215674757957458,vgg16,resnet50,pgd,0.21,29.891704559326172,0.40147674083709717
False,0.902858555316925,0.902858555316925,0.06366666406393051,0.11512003093957901,vgg16,resnet50,pgd,0.21,30.826623916625977,0.6912471055984497
False,0.9997745156288147,0.9997745156288147,0.024881554767489433,0.07978177070617676,vgg16,resnet50,pgd,0.21,31.10181427001953,0.6339714527130127
False,0.9997931122779846,0.9997931122779846,0.06544943898916245,0.15220597386360168,vgg16,resnet50,pgd,0.21,30.3380069732666,0.6362360715866089
False,0.9999915361404419,0.9999915361404419,0.10568337142467499,0.30226171016693115,vgg16,resnet50,pgd,0.21,30.652929306030273,0.6590906977653503
False,0.9990237951278687,0.9990237951278687,0.0004260748391970992,0.7765903472900391,vgg16,resnet50,pgd,0.21,29.087064743041992,0.43953245878219604
False,0.15962514281272888,0.2914247214794159,0.005359121132642031,0.06085517257452011,vgg16,resnet50,pgd,0.21,27.389558792114258,0.5312864184379578
False,0.9974873065948486,0.9974873065948486,0.0041777933947741985,0.396961510181427,vgg16,resnet50,pgd,0.21,28.056678771972656,0.4849902093410492
True,0.9984509944915771,0.9984509944915771,0.08807007223367691,0.08807007223367691,vgg16,resnet50,pgd,0.21,31.220230102539062,0.6178005337715149
False,0.7766540050506592,0.7766540050506592,0.008460634388029575,0.8574967980384827,vgg16,resnet50,pgd,0.21,28.50230598449707,0.5241022706031799
True,0.9999963045120239,0.9999963045120239,0.15979190170764923,0.15979190170764923,vgg16,resnet50,pgd,0.21,28.448408126831055,0.5872986316680908
False,0.9906614422798157,0.9906614422798157,0.004491084720939398,0.07592856884002686,vgg16,resnet50,pgd,0.21,26.781824111938477,0.44135063886642456
False,0.9999997615814209,0.9999997615814209,0.09138213843107224,0.24445484578609467,vgg16,resnet50,pgd,0.21,29.878501892089844,0.6083309650421143
False,0.9884077906608582,0.9884077906608582,0.0015209841076284647,0.20314331352710724,vgg16,resnet50,pgd,0.21,29.455190658569336,0.5927567481994629
False,0.9996256828308105,0.9996256828308105,0.01034916378557682,0.13802708685398102,vgg16,resnet50,pgd,0.21,29.753164291381836,0.5961167812347412
False,0.9701827764511108,0.9701827764511108,0.11897122114896774,0.16653315722942352,vgg16,resnet50,pgd,0.21,29.003131866455078,0.6289600133895874
False,0.9454201459884644,0.9454201459884644,0.012430651113390923,0.6749047040939331,vgg16,resnet50,pgd,0.21,28.8443660736084,0.5575664639472961
False,0.9999858140945435,0.9999858140945435,0.07167559862136841,0.15077859163284302,vgg16,resnet50,pgd,0.21,29.060752868652344,0.5091480612754822
False,0.9997696280479431,0.9997696280479431,0.023240040987730026,0.5693440437316895,vgg16,resnet50,pgd,0.21,29.842267990112305,0.6181930303573608
False,0.9992350339889526,0.9992350339889526,0.015000788494944572,0.19972509145736694,vgg16,resnet50,pgd,0.21,29.36945152282715,0.5834540724754333
False,0.9999760389328003,0.9999760389328003,0.008883107453584671,0.17172960937023163,vgg16,resnet50,pgd,0.21,28.36701011657715,0.5360407829284668
False,0.9999938011169434,0.9999938011169434,0.0025427646469324827,0.9357214570045471,vgg16,resnet50,pgd,0.21,29.732162475585938,0.652335524559021
False,0.9999996423721313,0.9999996423721313,0.009354352951049805,0.10515546053647995,vgg16,resnet50,pgd,0.21,29.377399444580078,0.4340899586677551
True,1.0,1.0,0.8803101778030396,0.8803101778030396,vgg16,resnet50,pgd,0.21,28.59400177001953,0.5733441710472107
False,0.9962365031242371,0.9962365031242371,0.00573201896622777,0.1193108856678009,vgg16,resnet50,pgd,0.21,33.49298858642578,0.8052706122398376
False,0.9990652203559875,0.9990652203559875,0.010650958865880966,0.07511342316865921,vgg16,resnet50,pgd,0.21,26.869304656982422,0.3891986310482025
