correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
True,0.9986680746078491,0.9986680746078491,0.12767142057418823,0.12767142057418823,vgg16,resnet50,fgsm,0.09,33.34849166870117,0.6273214817047119
True,0.9999978542327881,0.9999978542327881,0.9775290489196777,0.9775290489196777,vgg16,resnet50,fgsm,0.09,34.69806671142578,0.5529812574386597
True,0.9999802112579346,0.9999802112579346,0.7330247163772583,0.7330247163772583,vgg16,resnet50,fgsm,0.09,34.3950080871582,0.5596500039100647
False,0.9998633861541748,0.9998633861541748,0.09671550989151001,0.21039262413978577,vgg16,resnet50,fgsm,0.09,34.494388580322266,0.4183071553707123
True,0.9992606043815613,0.9992606043815613,0.9734139442443848,0.9734139442443848,vgg16,resnet50,fgsm,0.09,34.0216064453125,0.5944186449050903
False,0.030664198100566864,0.24286909401416779,0.0060466863214969635,0.07427309453487396,vgg16,resnet50,fgsm,0.09,33.656524658203125,0.4000123143196106
False,0.9999357461929321,0.9999357461929321,0.03669584542512894,0.06934300810098648,vgg16,resnet50,fgsm,0.09,34.78715133666992,0.6068092584609985
True,0.5261390805244446,0.5261390805244446,0.12369072437286377,0.12369072437286377,vgg16,resnet50,fgsm,0.09,34.66407012939453,0.5053765177726746
True,0.9977641105651855,0.9977641105651855,0.5309553146362305,0.5309553146362305,vgg16,resnet50,fgsm,0.09,34.78607177734375,0.2986440658569336
False,0.902858555316925,0.902858555316925,0.058837272226810455,0.2740883529186249,vgg16,resnet50,fgsm,0.09,33.999942779541016,0.6200864315032959
False,0.9997745156288147,0.9997745156288147,0.04989439621567726,0.05852288752794266,vgg16,resnet50,fgsm,0.09,34.799468994140625,0.5404096841812134
True,0.9997931122779846,0.9997931122779846,0.2650924324989319,0.2650924324989319,vgg16,resnet50,fgsm,0.09,34.340755462646484,0.5362112522125244
True,0.9999915361404419,0.9999915361404419,0.8389390110969543,0.8389390110969543,vgg16,resnet50,fgsm,0.09,34.37324142456055,0.5672447085380554
False,0.9990237951278687,0.9990237951278687,0.015038433484733105,0.38462260365486145,vgg16,resnet50,fgsm,0.09,34.485225677490234,0.320035457611084
False,0.15962514281272888,0.2914247214794159,0.004249177407473326,0.04582363739609718,vgg16,resnet50,fgsm,0.09,34.02394104003906,0.3948654532432556
False,0.9974873065948486,0.9974873065948486,0.03633179888129234,0.04379764571785927,vgg16,resnet50,fgsm,0.09,34.7564811706543,0.3404642939567566
False,0.9984509944915771,0.9984509944915771,0.03146834298968315,0.10811635851860046,vgg16,resnet50,fgsm,0.09,33.768089294433594,0.5287144184112549
True,0.7766540050506592,0.7766540050506592,0.8219878673553467,0.8219878673553467,vgg16,resnet50,fgsm,0.09,30.032615661621094,0.4488598704338074
True,0.9999963045120239,0.9999963045120239,0.16853834688663483,0.16853834688663483,vgg16,resnet50,fgsm,0.09,32.97895050048828,0.4815231263637543
False,0.9906614422798157,0.9906614422798157,0.006098227109760046,0.07214436680078506,vgg16,resnet50,fgsm,0.09,33.11381912231445,0.30253708362579346
True,0.9999997615814209,0.9999997615814209,0.9482567310333252,0.9482567310333252,vgg16,resnet50,fgsm,0.09,34.79220199584961,0.49338221549987793
False,0.9884077906608582,0.9884077906608582,0.007352258078753948,0.18399934470653534,vgg16,resnet50,fgsm,0.09,34.76020431518555,0.47762376070022583
