correct_classification_tgt,true_prob_before_src,max_prob_before_src,true_prob_after_tgt,max_prob_after_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim
False,0.9859511256217957,0.9859511256217957,0.002550674369558692,0.07652764022350311,resnet50,vgg16,fgsm,0.25,87.84638977050781,0.24518021941184998
False,0.9856581091880798,0.9856581091880798,0.004391952883452177,0.08596333116292953,resnet50,vgg16,fgsm,0.25,92.48228454589844,0.18188932538032532
False,0.9748320579528809,0.9748320579528809,0.018922453746199608,0.10451618582010269,resnet50,vgg16,fgsm,0.25,89.6595458984375,0.19166600704193115
False,0.9967948794364929,0.9967948794364929,0.0016999065410345793,0.14782939851284027,resnet50,vgg16,fgsm,0.25,91.09741973876953,0.11735689640045166
False,0.9890475869178772,0.9890475869178772,0.003820163896307349,0.2570476531982422,resnet50,vgg16,fgsm,0.25,86.8105239868164,0.19649645686149597
False,0.9987567663192749,0.9987567663192749,0.0007898784824647009,0.15067054331302643,resnet50,vgg16,fgsm,0.25,90.86160278320312,0.10241516679525375
False,0.9959398508071899,0.9959398508071899,0.002894281642511487,0.05445501580834389,resnet50,vgg16,fgsm,0.25,94.12529754638672,0.19912320375442505
False,0.9934543371200562,0.9934543371200562,0.002836327301338315,0.046066202223300934,resnet50,vgg16,fgsm,0.25,93.93977355957031,0.16848647594451904
False,0.9804065227508545,0.9804065227508545,0.001198338926769793,0.1566983014345169,resnet50,vgg16,fgsm,0.25,93.99536895751953,0.08435466140508652
False,0.9984664916992188,0.9984664916992188,0.009089707396924496,0.1775239259004593,resnet50,vgg16,fgsm,0.25,89.37346649169922,0.23694567382335663
False,0.9960901141166687,0.9960901141166687,0.0015453612431883812,0.11273986101150513,resnet50,vgg16,fgsm,0.25,94.24492645263672,0.16588175296783447
False,0.9962515234947205,0.9962515234947205,0.03240407630801201,0.14182807505130768,resnet50,vgg16,fgsm,0.25,91.08519744873047,0.16323070228099823
False,0.9985600113868713,0.9985600113868713,0.0029680407606065273,0.09810233116149902,resnet50,vgg16,fgsm,0.25,91.0418930053711,0.17326657474040985
False,0.9903799295425415,0.9903799295425415,0.0013546784175559878,0.3112662732601166,resnet50,vgg16,fgsm,0.25,89.47627258300781,0.08634814620018005
False,0.8287179470062256,0.8287179470062256,0.007935423403978348,0.08302740007638931,resnet50,vgg16,fgsm,0.25,88.25267791748047,0.12296591699123383
False,0.9905347228050232,0.9905347228050232,0.003795100376009941,0.08965946733951569,resnet50,vgg16,fgsm,0.25,89.06140899658203,0.08450539410114288
False,0.9944314360618591,0.9944314360618591,0.0005185052286833525,0.13432684540748596,resnet50,vgg16,fgsm,0.25,89.51634979248047,0.19176629185676575
False,0.9755632877349854,0.9755632877349854,0.00010274010128341615,0.44663330912590027,resnet50,vgg16,fgsm,0.25,81.55667114257812,0.14402757585048676
False,0.9897451996803284,0.9897451996803284,0.006048148963600397,0.055398814380168915,resnet50,vgg16,fgsm,0.25,87.28669738769531,0.14159008860588074
False,0.9838902354240417,0.9838902354240417,0.0012740303063765168,0.11513665318489075,resnet50,vgg16,fgsm,0.25,83.18274688720703,0.07406342029571533
False,0.9927219748497009,0.9927219748497009,0.004492836073040962,0.0749453529715538,resnet50,vgg16,fgsm,0.25,94.3841552734375,0.14520582556724548
False,0.9980859756469727,0.9980859756469727,0.004208514466881752,0.0405721440911293,resnet50,vgg16,fgsm,0.25,91.42529296875,0.1412406861782074
False,0.995461642742157,0.995461642742157,0.005680456291884184,0.24368424713611603,resnet50,vgg16,fgsm,0.25,91.04436492919922,0.14518053829669952
False,0.9979925155639648,0.9979925155639648,0.0030682433862239122,0.05748404935002327,resnet50,vgg16,fgsm,0.25,88.2200927734375,0.16743949055671692
False,0.9941394329071045,0.9941394329071045,0.0003885108162648976,0.1356922835111618,resnet50,vgg16,fgsm,0.25,86.80559539794922,0.13821758329868317
False,0.9956134557723999,0.9956134557723999,0.01475546695291996,0.1353895664215088,resnet50,vgg16,fgsm,0.25,93.56356048583984,0.11377285420894623
False,0.9908316731452942,0.9908316731452942,0.003839002223685384,0.06674433499574661,resnet50,vgg16,fgsm,0.25,92.21635437011719,0.14475074410438538
False,0.9967833757400513,0.9967833757400513,0.004248761106282473,0.08785930275917053,resnet50,vgg16,fgsm,0.25,86.80398559570312,0.16156195104122162
False,0.9971505999565125,0.9971505999565125,0.00926554948091507,0.09514117240905762,resnet50,vgg16,fgsm,0.25,90.77784729003906,0.12456850707530975
False,0.9925561547279358,0.9925561547279358,0.003034654539078474,0.10922615230083466,resnet50,vgg16,fgsm,0.25,87.4578628540039,0.17060551047325134
False,0.9845361113548279,0.9845361113548279,0.0010722869774326682,0.23061540722846985,resnet50,vgg16,fgsm,0.25,91.24774169921875,0.07613764703273773
False,0.9854265451431274,0.9854265451431274,0.012409085407853127,0.24300236999988556,resnet50,vgg16,fgsm,0.25,88.22295379638672,0.15331147611141205
False,0.991421639919281,0.991421639919281,0.02566520683467388,0.06089932471513748,resnet50,vgg16,fgsm,0.25,93.3031234741211,0.3539774417877197
False,0.9941806197166443,0.9941806197166443,0.001437758794054389,0.08756465464830399,resnet50,vgg16,fgsm,0.25,81.15641784667969,0.07819809764623642
False,0.9925285577774048,0.9925285577774048,0.0287335105240345,0.12694820761680603,resnet50,vgg16,fgsm,0.25,81.99818420410156,0.12599626183509827
False,0.9932265877723694,0.9932265877723694,0.00202194950543344,0.11656747758388519,resnet50,vgg16,fgsm,0.25,84.90567779541016,0.17142009735107422
