adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9986686706542968,0.0796594321727752,0.9986686706542968,0.8944482803344727,vgg16,cw,0.5,0.7720674276351929,0.999547004699707,True
False,0.999997854232788,0.0356054902076721,0.999997854232788,0.6461044549942017,vgg16,cw,0.5,0.9232363104820251,0.9985264539718628,True
False,0.9999802112579346,0.0184303484857082,0.9999802112579346,0.4010934829711914,vgg16,cw,0.5,0.9262558221817015,0.9986575841903688,True
False,0.9998633861541748,0.2800503969192505,0.9998633861541748,0.5455176830291748,vgg16,cw,0.5,0.7778167724609375,0.9987155795097352,True
False,0.9992608428001404,0.0137889245525002,0.9992608428001404,0.9780479669570924,vgg16,cw,0.5,0.773312509059906,0.9992954730987548,True
False,0.030653053894639,0.0306458882987499,0.2429003119468689,0.2430167645215988,vgg16,cw,0.5,0.0031064732465893,0.999997079372406,False
False,0.999935746192932,0.0138509478420019,0.999935746192932,0.800207257270813,vgg16,cw,0.5,0.7290745377540588,0.9994255900382996,True
False,0.5263636112213135,0.0013443639036267,0.5263636112213135,0.9907251000404358,vgg16,cw,0.5,0.5240771770477295,0.9995349645614624,True
False,0.9977656602859496,0.0361214466392993,0.9977656602859496,0.9509037137031556,vgg16,cw,0.5,0.7740755677223206,0.9983691573143004,True
False,0.9028523564338684,0.0006191453430801,0.9028523564338684,0.9403813481330872,vgg16,cw,0.5,0.7152338624000549,0.9994791746139526,True
False,0.9997742772102356,0.128518059849739,0.9997742772102356,0.8653596639633179,vgg16,cw,0.5,0.7296954989433289,0.9990382194519044,True
False,0.9997931122779846,0.0083737922832369,0.9997931122779846,0.9417592883110046,vgg16,cw,0.5,0.7507224082946777,0.9994349479675292,True
False,0.999991536140442,0.1276607811450958,0.999991536140442,0.5696641206741333,vgg16,cw,0.5,0.6904433369636536,0.9994515776634216,True
False,0.9990241527557372,0.0421059876680374,0.9990241527557372,0.6281955242156982,vgg16,cw,0.5,0.859865665435791,0.998293161392212,True
False,0.159641683101654,0.1596566587686538,0.2913488745689392,0.2913244068622589,vgg16,cw,0.5,0.0029552476480603,0.9999946355819702,False
False,0.9974865913391112,0.003450704505667,0.9974865913391112,0.7682307958602905,vgg16,cw,0.5,0.9120312333106996,0.9979113340377808,True
True,0.9984502792358398,0.560910165309906,0.9984502792358398,0.560910165309906,vgg16,cw,0.5,0.4968674778938293,0.9996267557144164,True
True,0.7766604423522949,0.7198103666305542,0.7766604423522949,0.7198103666305542,vgg16,cw,0.5,0.3431972563266754,0.9997034072875975,True
False,0.999996304512024,0.0230971202254295,0.999996304512024,0.9720092415809632,vgg16,cw,0.5,0.8928613662719727,0.9987707138061525,True
False,0.9906656742095948,0.0306844841688871,0.9906656742095948,0.8252082467079163,vgg16,cw,0.5,0.7335367202758789,0.9988076090812684,True
False,0.9999997615814208,0.2255035191774368,0.9999997615814208,0.7486529350280762,vgg16,cw,0.5,1.1142082214355469,0.9972323179244996,True
False,0.9883954524993896,0.3357122540473938,0.9883954524993896,0.5099772810935974,vgg16,cw,0.5,0.5701119303703308,0.9995709657669068,True
False,0.9996254444122314,0.0016168646980077,0.9996254444122314,0.6147003769874573,vgg16,cw,0.5,0.7197831869125366,0.9992836713790894,True
False,0.9701716899871826,0.1229951903223991,0.9701716899871826,0.779487133026123,vgg16,cw,0.5,0.5653743147850037,0.9994652271270752,True
False,0.9454853534698486,0.0173857975751161,0.9454853534698486,0.6930340528488159,vgg16,cw,0.5,0.7177175879478455,0.9991890788078308,True
True,0.9999858140945436,0.8918602466583252,0.9999858140945436,0.8918602466583252,vgg16,cw,0.5,0.6697486639022827,0.9987194538116456,True
False,0.9997695088386536,0.0007981594535522,0.9997695088386536,0.9275187849998474,vgg16,cw,0.5,0.8459732532501221,0.9990155100822448,True
False,0.9992355108261108,0.1757805198431015,0.9992355108261108,0.5060743689537048,vgg16,cw,0.5,0.7333483695983887,0.9987651109695436,True
