adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.985948085784912,6.789521722616596e-10,0.985948085784912,0.996357262134552,resnet50,pgd,0.15,17.779024124145508,0.8299918174743652,True
False,0.9856513738632202,4.3476671152120616e-08,0.9856513738632202,0.9956329464912416,resnet50,pgd,0.15,18.161983489990234,0.7889756560325623,True
False,0.974828600883484,6.994527027882892e-14,0.974828600883484,1.0,resnet50,pgd,0.15,18.03616714477539,0.7902328968048096,True
False,0.9967980980873108,1.896574872262136e-06,0.9967980980873108,0.9911224842071532,resnet50,pgd,0.15,18.14788627624512,0.681427001953125,True
False,0.9890661239624025,8.565042008967794e-09,0.9890661239624025,0.9999960660934448,resnet50,pgd,0.15,17.934450149536133,0.8248879313468933,True
False,0.9987583160400392,3.6814748298474864e-12,0.9987583160400392,0.9999595880508424,resnet50,pgd,0.15,17.636646270751953,0.6699482798576355,True
False,0.995940923690796,5.066930874875197e-09,0.995940923690796,0.9844345450401306,resnet50,pgd,0.15,18.31548118591309,0.8329989910125732,True
False,0.9934613704681396,2.7853623407736453e-08,0.9934613704681396,0.997248113155365,resnet50,pgd,0.15,18.175434112548828,0.7502185106277466,True
False,0.9803884029388428,3.4633068440002857e-13,0.9803884029388428,0.9996596574783324,resnet50,pgd,0.15,18.16733169555664,0.5382711887359619,True
False,0.99847012758255,2.6441838102349334e-15,0.99847012758255,1.0,resnet50,pgd,0.15,17.906147003173828,0.8223472833633423,True
False,0.9960871934890748,3.0346045121198983e-10,0.9960871934890748,0.9999997615814208,resnet50,pgd,0.15,18.21002960205078,0.7813915014266968,True
False,0.996254563331604,2.310153985205036e-16,0.996254563331604,0.9999847412109376,resnet50,pgd,0.15,18.013254165649414,0.7922086715698242,True
False,0.9985598921775818,2.6922184100108826e-12,0.9985598921775818,1.0,resnet50,pgd,0.15,18.06296157836914,0.8127480745315552,True
False,0.9903732538223268,7.694959578384566e-14,0.9903732538223268,0.9999899864196776,resnet50,pgd,0.15,18.120925903320312,0.5728695392608643,True
False,0.828338086605072,3.1177517571768724e-14,0.828338086605072,1.0,resnet50,pgd,0.15,17.674793243408203,0.6376305818557739,True
False,0.9905363917350768,4.415525836520828e-06,0.9905363917350768,0.9563034772872924,resnet50,pgd,0.15,18.12057876586914,0.6147366762161255,True
False,0.9944350719451904,8.000836104748997e-11,0.9944350719451904,0.9999960660934448,resnet50,pgd,0.15,17.824974060058594,0.7631188631057739,True
False,0.9755635857582092,8.721020276425406e-05,0.9755635857582092,0.9931567311286926,resnet50,pgd,0.15,17.352779388427734,0.6638199090957642,True
False,0.9897603392601012,1.1628581120248785e-07,0.9897603392601012,0.999908208847046,resnet50,pgd,0.15,17.788694381713867,0.7256631851196289,True
False,0.9838901162147522,3.8282421677138245e-09,0.9838901162147522,0.9709792137145996,resnet50,pgd,0.15,17.519367218017578,0.5736883878707886,True
False,0.9927220940589904,1.1781619083106598e-11,0.9927220940589904,0.9999996423721312,resnet50,pgd,0.15,18.3184814453125,0.7478706240653992,True
