correct_classification,true_prob_before,true_prob_after,max_prob_before,max_prob_after,model,attack,attack_param,l2_norm,ssim
False,0.9859480857849121,7.247397640245609e-26,0.9859480857849121,1.0,resnet50,pgd,0.25,22.745763778686523,0.7690314650535583
False,0.9856513738632202,2.1347551386204417e-26,0.9856513738632202,0.999946117401123,resnet50,pgd,0.25,23.585115432739258,0.7106835246086121
False,0.9748286008834839,7.0689849705285635e-34,0.9748286008834839,1.0,resnet50,pgd,0.25,23.23637580871582,0.7166546583175659
False,0.9967980980873108,1.1601631058706144e-28,0.9967980980873108,1.0,resnet50,pgd,0.25,23.344804763793945,0.5909236669540405
False,0.9890661239624023,1.8179764988752297e-24,0.9890661239624023,1.0,resnet50,pgd,0.25,22.93546485900879,0.7552878856658936
False,0.9987583160400391,2.787696104402716e-22,0.9987583160400391,1.0,resnet50,pgd,0.25,22.950881958007812,0.572479248046875
False,0.9959409236907959,1.301373338874443e-30,0.9959409236907959,1.0,resnet50,pgd,0.25,23.81260871887207,0.7607626914978027
False,0.9934613704681396,1.1403707764256837e-26,0.9934613704681396,1.0,resnet50,pgd,0.25,23.602970123291016,0.6704751253128052
False,0.9803884029388428,1.678848603563819e-22,0.9803884029388428,0.9999995231628418,resnet50,pgd,0.25,23.746938705444336,0.43886658549308777
False,0.99847012758255,1.966269086332811e-25,0.99847012758255,0.9999994039535522,resnet50,pgd,0.25,22.972991943359375,0.7623719573020935
False,0.9960871934890747,5.109990973722373e-25,0.9960871934890747,1.0,resnet50,pgd,0.25,23.403182983398438,0.706640899181366
False,0.996254563331604,4.596811770491705e-23,0.996254563331604,0.9999992847442627,resnet50,pgd,0.25,23.188661575317383,0.7110904455184937
False,0.9985598921775818,9.81096273512658e-23,0.9985598921775818,1.0,resnet50,pgd,0.25,23.1624813079834,0.737401008605957
False,0.9903732538223267,4.883777365948906e-29,0.9903732538223267,1.0,resnet50,pgd,0.25,23.30513572692871,0.48021644353866577
False,0.828338086605072,7.806774988485206e-24,0.828338086605072,1.0,resnet50,pgd,0.25,22.787477493286133,0.5507957935333252
False,0.9905363917350769,2.2311286086961114e-22,0.9905363917350769,0.9999902248382568,resnet50,pgd,0.25,23.39253807067871,0.5160030126571655
False,0.9944350719451904,5.652515763184216e-24,0.9944350719451904,1.0,resnet50,pgd,0.25,23.21013069152832,0.6849612593650818
False,0.9755635857582092,4.7722365643899315e-18,0.9755635857582092,1.0,resnet50,pgd,0.25,23.446306228637695,0.5576798915863037
False,0.9897603392601013,1.4797884608490288e-30,0.9897603392601013,1.0,resnet50,pgd,0.25,23.090681076049805,0.6377924680709839
False,0.9838901162147522,1.4469644669199543e-24,0.9838901162147522,1.0,resnet50,pgd,0.25,22.136077880859375,0.4844590127468109
False,0.9927220940589905,1.4159805188940325e-26,0.9927220940589905,1.0,resnet50,pgd,0.25,23.671133041381836,0.6608671545982361
False,0.998084306716919,3.472960177362283e-36,0.998084306716919,1.0,resnet50,pgd,0.25,23.48361587524414,0.6494330167770386
False,0.9954618811607361,0.0,0.9954618811607361,1.0,resnet50,pgd,0.25,23.15924644470215,0.6634535789489746
False,0.9979945421218872,1.6062861248564062e-26,0.9979945421218872,1.0,resnet50,pgd,0.25,22.84020233154297,0.6863532066345215
False,0.9941452741622925,2.6112835879222978e-31,0.9941452741622925,0.9999997615814209,resnet50,pgd,0.25,22.53723907470703,0.6172682046890259
False,0.9956041574478149,1.385783169961205e-26,0.9956041574478149,1.0,resnet50,pgd,0.25,23.563079833984375,0.5433012247085571
False,0.9908281564712524,2.6705077328054482e-39,0.9908281564712524,1.0,resnet50,pgd,0.25,23.257747650146484,0.6773790121078491
False,0.9967808723449707,4.4732221852496395e-28,0.9967808723449707,1.0,resnet50,pgd,0.25,22.826908111572266,0.6412354707717896
False,0.9971522092819214,1.5846406761514155e-30,0.9971522092819214,1.0,resnet50,pgd,0.25,23.41681480407715,0.5711537599563599
False,0.9925532937049866,4.331316943003516e-34,0.9925532937049866,1.0,resnet50,pgd,0.25,23.08681869506836,0.7199743986129761
False,0.9845149517059326,5.2723468225341216e-30,0.9845149517059326,1.0,resnet50,pgd,0.25,23.602413177490234,0.474936842918396
False,0.9854462146759033,7.950687552107552e-28,0.9854462146759033,1.0,resnet50,pgd,0.25,23.2084903717041,0.6107999086380005
False,0.991419792175293,1.1653900084802735e-25,0.991419792175293,1.0,resnet50,pgd,0.25,23.481159210205078,0.8659363985061646
False,0.994181215763092,5.8249953722820506e-21,0.994181215763092,1.0,resnet50,pgd,0.25,22.146026611328125,0.41521498560905457
False,0.9925135970115662,1.4220858708921356e-27,0.9925135970115662,1.0,resnet50,pgd,0.25,22.143070220947266,0.6004399657249451
False,0.9932225942611694,1.1382620882853967e-35,0.9932225942611694,1.0,resnet50,pgd,0.25,22.767139434814453,0.6505893468856812
False,0.9992365837097168,2.9162178133977793e-34,0.9992365837097168,1.0,resnet50,pgd,0.25,23.397829055786133,0.6431484222412109
False,0.9952860474586487,8.326922066632795e-33,0.9952860474586487,1.0,resnet50,pgd,0.25,23.232608795166016,0.7576968669891357
False,0.9971680045127869,1.0167633989697353e-30,0.9971680045127869,1.0,resnet50,pgd,0.25,23.145353317260742,0.5748579502105713
False,0.992281973361969,3.0401602847095505e-33,0.992281973361969,1.0,resnet50,pgd,0.25,23.629457473754883,0.5778886079788208
False,0.9916762113571167,2.656288920959605e-35,0.9916762113571167,1.0,resnet50,pgd,0.25,23.05325698852539,0.7455655336380005
False,0.9963614344596863,8.906545697976449e-23,0.9963614344596863,1.0,resnet50,pgd,0.25,22.856733322143555,0.5693509578704834
False,0.9930925369262695,2.5806452680635955e-31,0.9930925369262695,1.0,resnet50,pgd,0.25,23.307668685913086,0.5745762586593628
False,0.9808610081672668,4.9097491716206744e-26,0.9808610081672668,1.0,resnet50,pgd,0.25,22.94754409790039,0.628484845161438
False,0.4141964018344879,4.004892678697084e-21,0.4141964018344879,1.0,resnet50,pgd,0.25,22.64860725402832,0.4612677991390228
False,0.9861463904380798,1.0564406591291985e-29,0.9861463904380798,1.0,resnet50,pgd,0.25,23.327091217041016,0.6841676235198975
False,0.9880670309066772,3.24655042900547e-23,0.9880670309066772,1.0,resnet50,pgd,0.25,23.049835205078125,0.6169912219047546
False,0.9983880519866943,2.904208432384424e-25,0.9983880519866943,1.0,resnet50,pgd,0.25,22.95034408569336,0.5123667120933533
False,0.9903815388679504,6.4911928031616275e-28,0.9903815388679504,1.0,resnet50,pgd,0.25,23.530519485473633,0.5455776453018188
False,0.9944387674331665,3.864270099853617e-29,0.9944387674331665,1.0,resnet50,pgd,0.25,22.801679611206055,0.637310802936554
