correct_classification,true_prob_before,true_prob_after,max_prob_before,max_prob_after,model,attack,attack_param,l2_norm,ssim
False,0.9859480857849121,8.87482520654706e-25,0.9859480857849121,1.0,resnet50,pgd,0.17,22.71989631652832,0.7689082026481628
False,0.9856513738632202,3.029940781244042e-27,0.9856513738632202,0.9999942779541016,resnet50,pgd,0.17,23.454437255859375,0.7115530967712402
False,0.9748286008834839,8.056087433519371e-33,0.9748286008834839,1.0,resnet50,pgd,0.17,23.091127395629883,0.7187236547470093
False,0.9967980980873108,3.165380803099503e-26,0.9967980980873108,1.0,resnet50,pgd,0.17,23.161882400512695,0.5942456722259521
False,0.9890661239624023,2.0485815251714104e-23,0.9890661239624023,1.0,resnet50,pgd,0.17,22.80611228942871,0.7566648721694946
False,0.9987583160400391,2.279743695525956e-21,0.9987583160400391,0.9999998807907104,resnet50,pgd,0.17,22.7628173828125,0.5763797163963318
False,0.9959409236907959,4.105692281800198e-34,0.9959409236907959,1.0,resnet50,pgd,0.17,23.626291275024414,0.7624787092208862
False,0.9934613704681396,3.6976853448663847e-26,0.9934613704681396,1.0,resnet50,pgd,0.17,23.386070251464844,0.6724020838737488
False,0.9803884029388428,1.2681697935618587e-23,0.9803884029388428,0.9999995231628418,resnet50,pgd,0.17,23.507530212402344,0.4415648877620697
False,0.99847012758255,6.824989126295792e-26,0.99847012758255,0.9999991655349731,resnet50,pgd,0.17,22.902667999267578,0.762055516242981
False,0.9960871934890747,1.3089613176542941e-22,0.9960871934890747,1.0,resnet50,pgd,0.17,23.291593551635742,0.7085882425308228
False,0.996254563331604,2.197253406812983e-23,0.996254563331604,0.9999997615814209,resnet50,pgd,0.17,23.118446350097656,0.712349534034729
False,0.9985598921775818,9.556334345259619e-26,0.9985598921775818,1.0,resnet50,pgd,0.17,23.039779663085938,0.7392992973327637
False,0.9903732538223267,1.1332609076673002e-30,0.9903732538223267,1.0,resnet50,pgd,0.17,23.2474422454834,0.4790591597557068
False,0.828338086605072,6.779321937677669e-27,0.828338086605072,1.0,resnet50,pgd,0.17,22.58603858947754,0.5543819665908813
False,0.9905363917350769,4.166752516169696e-27,0.9905363917350769,1.0,resnet50,pgd,0.17,23.21149444580078,0.5183682441711426
False,0.9944350719451904,1.379614729551764e-22,0.9944350719451904,1.0,resnet50,pgd,0.17,23.172561645507812,0.6844002604484558
