correct_classification,true_prob_before,true_prob_after,max_prob_before,max_prob_after,model,attack,attack_param,l2_norm,ssim
False,0.9859731197357178,0.028257304802536964,0.9859731197357178,0.09433581680059433,resnet50,fgsm,0.17,61.4733772277832,0.37833839654922485
False,0.985670268535614,0.026610728353261948,0.985670268535614,0.05345913767814636,resnet50,fgsm,0.17,64.58088684082031,0.3028436303138733
True,0.974802553653717,0.6254895329475403,0.974802553653717,0.6254895329475403,resnet50,fgsm,0.17,63.17958450317383,0.3144679665565491
False,0.9967940449714661,0.011912083253264427,0.9967940449714661,0.05246858298778534,resnet50,fgsm,0.17,63.768802642822266,0.20660534501075745
True,0.9890440702438354,0.3078950345516205,0.9890440702438354,0.3078950345516205,resnet50,fgsm,0.17,61.69456100463867,0.33103907108306885
False,0.9987654685974121,0.0045025241561234,0.9987654685974121,0.16888713836669922,resnet50,fgsm,0.17,62.74010467529297,0.18545758724212646
True,0.9959326386451721,0.2489689439535141,0.9959326386451721,0.2489689439535141,resnet50,fgsm,0.17,65.06555938720703,0.33694279193878174
True,0.993465006351471,0.1501004993915558,0.993465006351471,0.1501004993915558,resnet50,fgsm,0.17,64.7450180053711,0.27888986468315125
False,0.9803726077079773,0.009051318280398846,0.9803726077079773,0.1419331580400467,resnet50,fgsm,0.17,65.27606964111328,0.14301469922065735
False,0.9984538555145264,0.013241266831755638,0.9984538555145264,0.04795464873313904,resnet50,fgsm,0.17,62.33900833129883,0.37565335631370544
False,0.9960775971412659,0.011856567114591599,0.9960775971412659,0.05430179834365845,resnet50,fgsm,0.17,65.1976089477539,0.28597715497016907
False,0.9962750673294067,0.009415287524461746,0.9962750673294067,0.05284678563475609,resnet50,fgsm,0.17,63.649166107177734,0.27954214811325073
False,0.9985644221305847,0.010259374976158142,0.9985644221305847,0.058518845587968826,resnet50,fgsm,0.17,63.482486724853516,0.29816314578056335
False,0.9903415441513062,0.009903748519718647,0.9903415441513062,0.05711264908313751,resnet50,fgsm,0.17,62.91395950317383,0.15085159242153168
False,0.8252915740013123,0.004681735299527645,0.8252915740013123,0.03465313836932182,resnet50,fgsm,0.17,61.96523666381836,0.20298954844474792
False,0.9905107617378235,0.008146660402417183,0.9905107617378235,0.09366980195045471,resnet50,fgsm,0.17,63.4686393737793,0.15091882646083832
False,0.9944443106651306,0.014454965479671955,0.9944443106651306,0.03918815404176712,resnet50,fgsm,0.17,62.43422317504883,0.3023234009742737
True,0.9758192896842957,0.4683258831501007,0.9758192896842957,0.4683258831501007,resnet50,fgsm,0.17,56.21232986450195,0.23441313207149506
False,0.9897390007972717,0.008720548823475838,0.9897390007972717,0.04840835928916931,resnet50,fgsm,0.17,61.00626754760742,0.24493858218193054
False,0.9839502573013306,0.07464444637298584,0.9839502573013306,0.2136584371328354,resnet50,fgsm,0.17,59.04705047607422,0.13504913449287415
False,0.9927204847335815,0.01274808682501316,0.9927204847335815,0.05566556379199028,resnet50,fgsm,0.17,65.08013153076172,0.2516332268714905
False,0.9980854988098145,0.006395002361387014,0.9980854988098145,0.0455208346247673,resnet50,fgsm,0.17,64.29061126708984,0.24657468497753143
False,0.995464026927948,0.0055275168269872665,0.995464026927948,0.08067987114191055,resnet50,fgsm,0.17,63.744224548339844,0.24976687133312225
False,0.9979957342147827,0.009313570335507393,0.9979957342147827,0.07546909898519516,resnet50,fgsm,0.17,62.175777435302734,0.274933397769928
False,0.9941357374191284,0.07440829277038574,0.9941357374191284,0.1053607165813446,resnet50,fgsm,0.17,60.75364303588867,0.23407523334026337
False,0.995613694190979,0.006846531759947538,0.995613694190979,0.08945102989673615,resnet50,fgsm,0.17,64.9714584350586,0.19281652569770813
False,0.9908285140991211,0.006068557966500521,0.9908285140991211,0.043221354484558105,resnet50,fgsm,0.17,64.0289077758789,0.2544851303100586
False,0.9967861175537109,0.052151769399642944,0.9967861175537109,0.05726504325866699,resnet50,fgsm,0.17,60.88614273071289,0.2663416862487793
False,0.9971550703048706,0.014842038974165916,0.9971550703048706,0.062028784304857254,resnet50,fgsm,0.17,63.2425422668457,0.21095804870128632
True,0.9925462603569031,0.8696505427360535,0.9925462603569031,0.8696505427360535,resnet50,fgsm,0.17,61.42230987548828,0.2968998849391937
False,0.9844937324523926,0.025119831785559654,0.9844937324523926,0.08474680781364441,resnet50,fgsm,0.17,64.89324188232422,0.13599646091461182
True,0.9854470491409302,0.5262954235076904,0.9854470491409302,0.5262954235076904,resnet50,fgsm,0.17,61.95635986328125,0.2517892122268677
False,0.9914411306381226,0.017662163823843002,0.9914411306381226,0.04629257693886757,resnet50,fgsm,0.17,64.61103057861328,0.526967465877533
True,0.9942017197608948,0.11968173831701279,0.9942017197608948,0.11968173831701279,resnet50,fgsm,0.17,56.28660202026367,0.13686831295490265
False,0.992544412612915,0.22047266364097595,0.992544412612915,0.446339875459671,resnet50,fgsm,0.17,57.94832229614258,0.2156398743391037
False,0.9932477474212646,0.005560734309256077,0.9932477474212646,0.03954651951789856,resnet50,fgsm,0.17,60.52516174316406,0.28027087450027466
False,0.9992269277572632,0.00535345496609807,0.9992269277572632,0.057044871151447296,resnet50,fgsm,0.17,64.94976806640625,0.21369318664073944
False,0.9952698349952698,0.007934619672596455,0.9952698349952698,0.1521800309419632,resnet50,fgsm,0.17,63.006534576416016,0.3273308277130127
False,0.9971676468849182,0.03220295533537865,0.9971676468849182,0.07001430541276932,resnet50,fgsm,0.17,63.85121536254883,0.19325494766235352
False,0.992264986038208,0.007775347214192152,0.992264986038208,0.0627048909664154,resnet50,fgsm,0.17,64.72649383544922,0.1909940242767334
True,0.9917051792144775,0.1831536740064621,0.9917051792144775,0.1831536740064621,resnet50,fgsm,0.17,61.672889709472656,0.3402951657772064
False,0.9963655471801758,0.004025117494165897,0.9963655471801758,0.08459106087684631,resnet50,fgsm,0.17,61.056278228759766,0.24298495054244995
False,0.9931095838546753,0.005051467102020979,0.9931095838546753,0.06800878047943115,resnet50,fgsm,0.17,63.62843322753906,0.17383871972560883
False,0.9809231758117676,0.060035254806280136,0.9809231758117676,0.06695552915334702,resnet50,fgsm,0.17,62.9099006652832,0.2543105185031891
False,0.4104245901107788,0.006881140638142824,0.4104245901107788,0.05760497599840164,resnet50,fgsm,0.17,60.77373504638672,0.1176891028881073
False,0.9861491918563843,0.010866615921258926,0.9861491918563843,0.05743805319070816,resnet50,fgsm,0.17,63.2179069519043,0.2862594723701477
False,0.9880991578102112,0.015328530222177505,0.9880991578102112,0.07980652153491974,resnet50,fgsm,0.17,61.36870574951172,0.2223735898733139
False,0.9983699917793274,0.0063019562512636185,0.9983699917793274,0.05075406655669212,resnet50,fgsm,0.17,62.63092041015625,0.17458979785442352
False,0.990425169467926,0.01398137304931879,0.990425169467926,0.08291521668434143,resnet50,fgsm,0.17,62.39414596557617,0.19521263241767883
False,0.9945051074028015,0.016940565779805183,0.9945051074028015,0.09840398281812668,resnet50,fgsm,0.17,61.011592864990234,0.2791614532470703
False,0.9840641021728516,0.03948742523789406,0.9840641021728516,0.5850666761398315,resnet50,fgsm,0.17,62.26333236694336,0.17127344012260437
False,0.9692136645317078,0.005552077665925026,0.9692136645317078,0.060939330607652664,resnet50,fgsm,0.17,63.822669982910156,0.48468896746635437
