correct_classification,true_prob_before,true_prob_after,max_prob_before,max_prob_after,model,attack,attack_param,l2_norm,ssim
True,0.9859480857849121,0.4486825168132782,0.9859480857849121,0.4486825168132782,resnet50,cw,5.0,2.5792717933654785,0.9957900047302246
False,0.9856513738632202,0.0007731360965408385,0.9856513738632202,0.9158983826637268,resnet50,cw,5.0,3.8120875358581543,0.9842981100082397
True,0.9748286008834839,0.588830828666687,0.9748286008834839,0.588830828666687,resnet50,cw,5.0,2.878617763519287,0.9908612966537476
False,0.9967980980873108,0.0010513999732211232,0.9967980980873108,0.9988943934440613,resnet50,cw,5.0,4.038334369659424,0.9648288488388062
False,0.9890661239624023,0.4680687189102173,0.9890661239624023,0.511401355266571,resnet50,cw,5.0,2.9093453884124756,0.9937276840209961
False,0.9987583160400391,0.13486890494823456,0.9987583160400391,0.8355928063392639,resnet50,cw,5.0,0.6079490780830383,0.9984859228134155
True,0.9959409236907959,0.27167123556137085,0.9959409236907959,0.27167123556137085,resnet50,cw,5.0,1.790984034538269,0.9961297512054443
False,0.9934613704681396,0.0027268696576356888,0.9934613704681396,0.7800585627555847,resnet50,cw,5.0,4.5512590408325195,0.970216691493988
False,0.9803884029388428,0.023376835510134697,0.9803884029388428,0.22432948648929596,resnet50,cw,5.0,2.9195613861083984,0.9704201221466064
False,0.99847012758255,0.007139055524021387,0.99847012758255,0.905709981918335,resnet50,cw,5.0,2.4442343711853027,0.9934204816818237
False,0.9960871934890747,0.19619318842887878,0.9960871934890747,0.788301944732666,resnet50,cw,5.0,2.147773027420044,0.9888548851013184
False,0.996254563331604,0.011014052666723728,0.996254563331604,0.41134291887283325,resnet50,cw,5.0,2.131451368331909,0.9941665530204773
False,0.9985598921775818,0.00042908365139737725,0.9985598921775818,0.9984394907951355,resnet50,cw,5.0,3.8749072551727295,0.988323450088501
False,0.9903732538223267,0.038985706865787506,0.9903732538223267,0.9589458703994751,resnet50,cw,5.0,3.7991480827331543,0.9579347968101501
False,0.828338086605072,0.11041756719350815,0.828338086605072,0.8615902662277222,resnet50,cw,5.0,0.3287350833415985,0.9995274543762207
False,0.9905363917350769,0.23995180428028107,0.9905363917350769,0.676922619342804,resnet50,cw,5.0,4.39321231842041,0.9594917297363281
False,0.9944350719451904,0.00019440855248831213,0.9944350719451904,0.9906320571899414,resnet50,cw,5.0,2.405129909515381,0.9918028712272644
False,0.9755635857582092,0.030228793621063232,0.9755635857582092,0.8946968913078308,resnet50,cw,5.0,2.3585119247436523,0.9888559579849243
False,0.9897603392601013,0.00028746368479914963,0.9897603392601013,0.9819283485412598,resnet50,cw,5.0,2.7900025844573975,0.9883311986923218
False,0.9838901162147522,0.0038731559179723263,0.9838901162147522,0.8686428070068359,resnet50,cw,5.0,1.8406094312667847,0.9908401966094971
False,0.9927220940589905,0.4403446316719055,0.9927220940589905,0.556332528591156,resnet50,cw,5.0,3.0825164318084717,0.9867329001426697
False,0.998084306716919,0.0033461155835539103,0.998084306716919,0.8670146465301514,resnet50,cw,5.0,4.663795471191406,0.9704430103302002
False,0.9954618811607361,0.0017318198224529624,0.9954618811607361,0.9176209568977356,resnet50,cw,5.0,3.8746111392974854,0.9836666584014893
False,0.9979945421218872,0.001993664540350437,0.9979945421218872,0.9843342900276184,resnet50,cw,5.0,2.1920084953308105,0.9927451014518738
False,0.9941452741622925,0.029888158664107323,0.9941452741622925,0.9664965271949768,resnet50,cw,5.0,2.7588272094726562,0.9870969653129578
False,0.9956041574478149,0.00047973691835068166,0.9956041574478149,0.9974910020828247,resnet50,cw,5.0,4.7138519287109375,0.9427508115768433
False,0.9908281564712524,0.0019251084886491299,0.9908281564712524,0.9929239749908447,resnet50,cw,5.0,4.00647497177124,0.9788159132003784
False,0.9967808723449707,0.13489344716072083,0.9967808723449707,0.7809982299804688,resnet50,cw,5.0,3.0793492794036865,0.9847748279571533
False,0.9971522092819214,0.004978752229362726,0.9971522092819214,0.9871792793273926,resnet50,cw,5.0,3.0833215713500977,0.9791067838668823
False,0.9925532937049866,0.15525221824645996,0.9925532937049866,0.843020498752594,resnet50,cw,5.0,2.7722647190093994,0.9931521415710449
False,0.9845149517059326,0.08770786225795746,0.9845149517059326,0.9027660489082336,resnet50,cw,5.0,4.301959037780762,0.941493034362793
True,0.9854462146759033,0.5085974931716919,0.9854462146759033,0.5085974931716919,resnet50,cw,5.0,3.32271409034729,0.9763407111167908
False,0.991419792175293,0.0028009824454784393,0.991419792175293,0.7894952893257141,resnet50,cw,5.0,2.1172428131103516,0.9979678988456726
False,0.994181215763092,0.0016193885821849108,0.994181215763092,0.9016839861869812,resnet50,cw,5.0,3.257929563522339,0.9778720736503601
False,0.9925135970115662,0.008249145932495594,0.9925135970115662,0.5686273574829102,resnet50,cw,5.0,2.5562374591827393,0.9911913871765137
False,0.9932225942611694,0.05597725138068199,0.9932225942611694,0.9431561231613159,resnet50,cw,5.0,2.736759662628174,0.9870511889457703
False,0.9992365837097168,0.01236819103360176,0.9992365837097168,0.9774746298789978,resnet50,cw,5.0,1.6475327014923096,0.994719386100769
False,0.9952860474586487,0.0006900231819599867,0.9952860474586487,0.7046423554420471,resnet50,cw,5.0,1.9434067010879517,0.9972928762435913
False,0.9971680045127869,4.730715943424002e-07,0.9971680045127869,0.998748779296875,resnet50,cw,5.0,3.441805124282837,0.9789860248565674
False,0.992281973361969,0.2379012256860733,0.992281973361969,0.5412017703056335,resnet50,cw,5.0,3.4101786613464355,0.9801938533782959
