adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9986675977706908,0.0014008858706802,0.9986675977706908,0.1694197058677673,vgg16,fgsm,0.17,61.56443405151367,0.3804943561553955,
False,0.999997854232788,0.0010815253481268,0.999997854232788,0.2040111720561981,vgg16,fgsm,0.17,64.58589935302734,0.3041137456893921,
False,0.9999802112579346,0.0057243527844548,0.9999802112579346,0.1298595517873764,vgg16,fgsm,0.17,63.227195739746094,0.3168990015983581,
False,0.9998632669448853,0.000617996789515,0.9998632669448853,0.362612783908844,vgg16,fgsm,0.17,63.78139877319336,0.203956127166748,
False,0.9992606043815612,0.0027923376765102,0.9992606043815612,0.2079061865806579,vgg16,fgsm,0.17,61.71405029296875,0.3294758200645447,
False,0.0306845046579837,0.0008088244358077,0.2430841028690338,0.0798545405268669,vgg16,fgsm,0.17,62.7794075012207,0.1865024417638778,
False,0.9999356269836426,0.0028718092944473,0.9999356269836426,0.1765989959239959,vgg16,fgsm,0.17,65.07908630371094,0.3348519504070282,
False,0.5264146327972412,0.0006250225706025,0.5264146327972412,0.0814320296049118,vgg16,fgsm,0.17,64.7356185913086,0.2766811847686767,
False,0.9977695941925048,0.0030297148041427,0.9977695941925048,0.0898174345493316,vgg16,fgsm,0.17,65.26919555664062,0.1464148610830307,
False,0.9026808738708496,0.0002484323922544,0.9026808738708496,0.2273955196142196,vgg16,fgsm,0.17,62.37878036499024,0.374491274356842,
False,0.9997749924659728,0.0008932112832553,0.9997749924659728,0.1636345088481903,vgg16,fgsm,0.17,65.20352172851562,0.2835215926170349,
False,0.9997925162315368,0.0017118292162194,0.9997925162315368,0.1475520133972168,vgg16,fgsm,0.17,63.5952033996582,0.2789322435855865,
False,0.999991536140442,0.0003397037216927,0.999991536140442,0.1417803913354873,vgg16,fgsm,0.17,63.50803756713867,0.2967944145202636,
False,0.9990216493606568,0.0009120680624619,0.9990216493606568,0.0772173181176185,vgg16,fgsm,0.17,62.896331787109375,0.1513753682374954,
False,0.1596345454454422,0.0021654483862221,0.2915821671485901,0.2116031497716903,vgg16,fgsm,0.17,61.903846740722656,0.209837719798088,
False,0.9974863529205322,0.0033406945876777,0.9974863529205322,0.1016068831086158,vgg16,fgsm,0.17,63.46559524536133,0.1536683887243271,
False,0.9984526634216307,0.0002931702765636,0.9984526634216307,0.1337698101997375,vgg16,fgsm,0.17,62.44453048706055,0.3009403347969055,
False,0.7770533561706543,0.0005080594564788,0.7770533561706543,0.2454380989074707,vgg16,fgsm,0.17,56.374732971191406,0.2348919957876205,
False,0.999996304512024,0.0014381273649632,0.999996304512024,0.0826049521565437,vgg16,fgsm,0.17,61.03677368164063,0.2463692724704742,
False,0.9906641244888306,0.0037454632110893,0.9906641244888306,0.45412677526474,vgg16,fgsm,0.17,59.03877258300781,0.1343324035406112,
False,0.9999997615814208,0.0024721922818571,0.9999997615814208,0.0944345593452453,vgg16,fgsm,0.17,65.08448028564453,0.2522801756858825,
False,0.9884105920791626,0.0036688901018351,0.9884105920791626,0.080866664648056,vgg16,fgsm,0.17,64.32754516601562,0.2436501830816269,
False,0.9996250867843628,0.001511076465249,0.9996250867843628,0.1087340787053108,vgg16,fgsm,0.17,63.75475311279297,0.243895873427391,
False,0.9701675176620485,0.0008804753888398,0.9701675176620485,0.0643538385629654,vgg16,fgsm,0.17,62.19888687133789,0.2727096378803253,
False,0.9453171491622924,0.0041835028678178,0.9453171491622924,0.0966003909707069,vgg16,fgsm,0.17,60.792945861816406,0.2379750907421112,
False,0.9999858140945436,0.0051268199458718,0.9999858140945436,0.1049728840589523,vgg16,fgsm,0.17,64.97367095947266,0.1910309791564941,
False,0.9997699856758118,0.0006947314250282,0.9997699856758118,0.0743206515908241,vgg16,fgsm,0.17,64.03247833251953,0.2594799995422363,
False,0.999236226081848,0.0063637653365731,0.999236226081848,0.0801175609230995,vgg16,fgsm,0.17,60.93442916870117,0.2675899565219879,
False,0.9999760389328004,0.001474775141105,0.9999760389328004,0.1157809421420097,vgg16,fgsm,0.17,63.21723556518555,0.2111390084028244,
False,0.9999938011169434,0.001204740954563,0.9999938011169434,0.059104386717081,vgg16,fgsm,0.17,61.43784332275391,0.2960130572319031,
False,0.9999996423721312,0.0011542012216523,0.9999996423721312,0.0632188096642494,vgg16,fgsm,0.17,64.91020202636719,0.1343607604503631,
False,1.0,0.0308463051915168,1.0,0.2002429813146591,vgg16,fgsm,0.17,61.98931884765625,0.2505208849906921,
False,0.9962336421012878,0.0011314580915495,0.9962336421012878,0.3528460264205932,vgg16,fgsm,0.17,64.61552429199219,0.5294889211654663,
False,0.9990658164024352,0.002016766462475,0.9990658164024352,0.093220442533493,vgg16,fgsm,0.17,56.26063537597656,0.140341505408287,
False,0.9953750967979432,0.0047269589267671,0.9953750967979432,0.1239478662610054,vgg16,fgsm,0.17,57.97620391845703,0.213761031627655,
False,0.9999876022338868,0.0017672900576144,0.9999876022338868,0.1062349379062652,vgg16,fgsm,0.17,60.56982803344727,0.2816316485404968,
False,0.915440022945404,0.0001925085671246,0.915440022945404,0.1284853368997573,vgg16,fgsm,0.17,64.96578979492188,0.2136257290840149,
False,0.9999494552612304,0.0012332384940236,0.9999494552612304,0.4508320093154907,vgg16,fgsm,0.17,63.04401397705078,0.3207252025604248,
False,0.9993844032287598,0.000544196285773,0.9993844032287598,0.1323257982730865,vgg16,fgsm,0.17,63.85662460327149,0.1967822313308715,
False,0.9997547268867492,0.0027086236514151,0.9997547268867492,0.0780614390969276,vgg16,fgsm,0.17,64.76433563232422,0.1894922703504562,
False,0.9999982118606568,0.0041828751564025,0.9999982118606568,0.0623889379203319,vgg16,fgsm,0.17,61.72854995727539,0.3425966203212738,
False,0.9416652321815492,0.0025153735186904,0.9416652321815492,0.1145454123616218,vgg16,fgsm,0.17,61.01398468017578,0.2413858622312545,
False,0.9999994039535522,0.0013076403411105,0.9999994039535522,0.0979656726121902,vgg16,fgsm,0.17,63.621578216552734,0.172727033495903,
False,0.998368799686432,0.0005163571913726,0.998368799686432,0.0836166143417358,vgg16,fgsm,0.17,62.88279342651367,0.2569340467453003,
False,0.035396508872509,0.0006841300637461,0.1466440111398697,0.1578832417726516,vgg16,fgsm,0.17,60.77721786499024,0.1185721457004547,
False,0.9999790191650392,0.0014100649859756,0.9999790191650392,0.168803408741951,vgg16,fgsm,0.17,63.19927978515625,0.287693977355957,
False,1.0,0.0015239096246659,1.0,0.1509648710489273,vgg16,fgsm,0.17,61.42075347900391,0.2228549569845199,
False,0.8667506575584412,0.0005805601831525,0.8667506575584412,0.0781197473406791,vgg16,fgsm,0.17,62.64802169799805,0.1771123707294464,
False,0.999860405921936,0.0013552486198022,0.999860405921936,0.1286850273609161,vgg16,fgsm,0.17,62.35041046142578,0.1972469091415405,
False,0.9999666213989258,0.0001828238600865,0.9999666213989258,0.151581272482872,vgg16,fgsm,0.17,61.06451416015625,0.275377094745636,
False,0.9915477633476256,0.0007474399753846,0.9915477633476256,0.072110891342163,vgg16,fgsm,0.17,62.24574279785156,0.1695924401283264,
False,0.0096781821921467,0.00020397453045,0.3638197183609009,0.6893926858901978,vgg16,fgsm,0.17,63.798675537109375,0.4720440804958343,
False,0.3099055290222168,0.0001574211637489,0.3099055290222168,0.5039589405059814,vgg16,fgsm,0.17,63.96202850341797,0.3746651411056518,
False,0.9940698146820068,0.0009911287343129,0.9940698146820068,0.1442783325910568,vgg16,fgsm,0.17,64.38126373291016,0.3211139738559723,
False,0.8145280480384827,0.00124450516887,0.8145280480384827,0.1999616622924804,vgg16,fgsm,0.17,61.191650390625,0.3863649368286133,
False,0.4657871127128601,0.0008948252652771,0.4657871127128601,0.0869436860084533,vgg16,fgsm,0.17,63.79056167602539,0.1704756617546081,
False,0.8996164798736572,0.0005350448191165,0.8996164798736572,0.0700526908040046,vgg16,fgsm,0.17,64.55900573730469,0.1688513457775116,
False,0.9992302656173706,0.000832614605315,0.9992302656173706,0.0725309252738952,vgg16,fgsm,0.17,65.12015533447266,0.4027558267116546,
False,0.9999991655349731,0.0015884009189903,0.9999991655349731,0.0991173759102821,vgg16,fgsm,0.17,64.1803207397461,0.37905353307724,
False,0.9999065399169922,0.0003547035739757,0.9999065399169922,0.1070866957306861,vgg16,fgsm,0.17,62.14324951171875,0.2554389238357544,
False,0.9924007654190063,0.0030152639374136,0.9924007654190063,0.0688840299844741,vgg16,fgsm,0.17,63.06765365600586,0.1791154593229293,
False,0.0070793549530208,0.0007697741384617,0.2573981285095215,0.040657851845026,vgg16,fgsm,0.17,65.84337615966797,0.0777261033654213,
False,0.433854192495346,0.0004670290509238,0.433854192495346,0.1179838851094245,vgg16,fgsm,0.17,65.00447082519531,0.2057359516620636,
False,0.9999815225601196,0.0002167836064472,0.9999815225601196,0.1545788645744323,vgg16,fgsm,0.17,65.35299682617188,0.2505372166633606,
False,0.9996449947357178,0.0006879594875499,0.9996449947357178,0.3401685059070587,vgg16,fgsm,0.17,62.00556564331055,0.3291253745555877,
False,0.997916042804718,0.0005941860727034,0.997916042804718,0.1532631367444992,vgg16,fgsm,0.17,62.56929397583008,0.2539784610271454,
False,0.5023852586746216,0.0001013304572552,0.5023852586746216,0.1896270960569381,vgg16,fgsm,0.17,59.12677001953125,0.2155100703239441,
False,0.9999996423721312,0.0029202855657786,0.9999996423721312,0.1160968169569969,vgg16,fgsm,0.17,65.4307861328125,0.4039451479911804,
False,7.029728294583037e-05,0.0004700614954344,0.90106201171875,0.1090858802199363,vgg16,fgsm,0.17,62.856201171875,0.0753363817930221,
False,0.0028672132175415,0.0024033628869801,0.9951188564300536,0.0906437039375305,vgg16,fgsm,0.17,63.071285247802734,0.1386734694242477,
False,0.9724747538566588,0.0037292134948074,0.9724747538566588,0.2928164005279541,vgg16,fgsm,0.17,60.92778778076172,0.229602426290512,
False,0.964832067489624,0.0022488955873996,0.964832067489624,0.1665962189435959,vgg16,fgsm,0.17,62.63158798217773,0.371474027633667,
False,0.9997910857200624,9.13656458578771e-06,0.9997910857200624,0.1964539140462875,vgg16,fgsm,0.17,64.94487762451172,0.403331458568573,
False,0.8028327226638794,0.0007741422741673,0.8028327226638794,0.069324642419815,vgg16,fgsm,0.17,64.73207092285156,0.1755241155624389,
False,0.9999998807907104,0.0020223623141646,0.9999998807907104,0.4395622611045837,vgg16,fgsm,0.17,62.40629959106445,0.331900805234909,
False,0.3763869404792785,0.0004013964789919,0.3763869404792785,0.6708763837814331,vgg16,fgsm,0.17,62.487064361572266,0.3863747715950012,
False,0.9999585151672364,0.0013310891808941,0.9999585151672364,0.0768464282155036,vgg16,fgsm,0.17,64.02880096435547,0.3629101514816284,
False,0.9981511235237122,9.19946760404855e-05,0.9981511235237122,0.0947178304195404,vgg16,fgsm,0.17,61.00410842895508,0.198900818824768,
False,0.9999009370803832,0.0007076382171362,0.9999009370803832,0.1642869114875793,vgg16,fgsm,0.17,59.85950469970703,0.1543769538402557,
False,0.873672366142273,0.0008904846617951,0.873672366142273,0.1107662469148635,vgg16,fgsm,0.17,63.44344329833984,0.3532720804214477,
False,0.7818318009376526,0.00055856956169,0.7818318009376526,0.2422795295715332,vgg16,fgsm,0.17,64.02706146240234,0.2169607877731323,
False,0.9978151321411132,0.00090947013814,0.9978151321411132,0.1692966222763061,vgg16,fgsm,0.17,62.77465438842773,0.139705017209053,
False,0.9952823519706726,0.0016685016453266,0.9952823519706726,0.1697050929069519,vgg16,fgsm,0.17,62.25043869018555,0.2879649698734283,
False,0.99999737739563,0.0023133151698857,0.99999737739563,0.1510158777236938,vgg16,fgsm,0.17,65.37419891357422,0.3406383991241455,
False,0.8191094398498535,0.0002619624719955,0.8191094398498535,0.0951524898409843,vgg16,fgsm,0.17,64.08828735351562,0.1780513972043991,
False,0.9523115754127502,0.0006836421671323,0.9523115754127502,0.1652265936136245,vgg16,fgsm,0.17,63.84222412109375,0.2933274507522583,
False,0.99930739402771,0.0008046150323934,0.99930739402771,0.1391485035419464,vgg16,fgsm,0.17,59.48048782348633,0.224781259894371,
False,0.7093986868858337,0.0005488733295351,0.7093986868858337,0.1569447219371795,vgg16,fgsm,0.17,63.51552581787109,0.4135010242462158,
False,0.9874788522720336,0.0034587522968649,0.9874788522720336,0.2777131199836731,vgg16,fgsm,0.17,58.47691345214844,0.2241214960813522,
False,0.991198480129242,0.0011162641458213,0.991198480129242,0.3591375350952148,vgg16,fgsm,0.17,59.60292434692383,0.2437301576137542,
False,0.9204063415527344,0.0019591634627431,0.9204063415527344,0.1166918948292732,vgg16,fgsm,0.17,64.4520492553711,0.1849331855773925,
