adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
True,0.9859731197357178,0.9615235924720764,0.9859731197357178,0.9615235924720764,resnet50,fgsm,0.03,11.323458671569824,0.9135135412216188,True
True,0.985670268535614,0.9499426484107972,0.985670268535614,0.9499426484107972,resnet50,fgsm,0.03,11.614194869995115,0.889223039150238,True
True,0.974802553653717,0.9692409634590148,0.974802553653717,0.9692409634590148,resnet50,fgsm,0.03,11.60422134399414,0.8879342079162598,True
True,0.996794044971466,0.9910523295402528,0.996794044971466,0.9910523295402528,resnet50,fgsm,0.03,11.615159034729004,0.8134776949882507,True
True,0.9890440702438354,0.9560055136680604,0.9890440702438354,0.9560055136680604,resnet50,fgsm,0.03,11.543787002563477,0.9122562408447266,True
True,0.998765468597412,0.6775753498077393,0.998765468597412,0.6775753498077393,resnet50,fgsm,0.03,11.355757713317873,0.8090399503707886,True
True,0.995932638645172,0.951961100101471,0.995932638645172,0.951961100101471,resnet50,fgsm,0.03,11.626913070678713,0.9193053245544434,True
True,0.993465006351471,0.9462063908576964,0.993465006351471,0.9462063908576964,resnet50,fgsm,0.03,11.612048149108888,0.8642749190330505,True
True,0.9803726077079772,0.9381505250930786,0.9803726077079772,0.9381505250930786,resnet50,fgsm,0.03,11.621455192565918,0.7028627395629883,True
True,0.9984538555145264,0.9838793873786926,0.9984538555145264,0.9838793873786926,resnet50,fgsm,0.03,11.582621574401855,0.9012853503227234,True
True,0.996077597141266,0.9710884690284728,0.996077597141266,0.9710884690284728,resnet50,fgsm,0.03,11.619733810424805,0.8840702772140503,True
True,0.9962750673294068,0.9671317934989928,0.9962750673294068,0.9671317934989928,resnet50,fgsm,0.03,11.567034721374512,0.8946851491928101,True
True,0.9985644221305848,0.9909464120864868,0.9985644221305848,0.9909464120864868,resnet50,fgsm,0.03,11.595640182495115,0.9068693518638612,True
True,0.9903415441513062,0.9858441352844238,0.9903415441513062,0.9858441352844238,resnet50,fgsm,0.03,11.636268615722656,0.7299139499664307,True
False,0.8252915740013123,0.0033043685834854,0.8252915740013123,0.5301609635353088,resnet50,fgsm,0.03,11.586551666259766,0.7714226245880127,True
True,0.9905107617378236,0.98432457447052,0.9905107617378236,0.98432457447052,resnet50,fgsm,0.03,11.63786792755127,0.7713119387626648,True
True,0.9944443106651306,0.9669259786605836,0.9944443106651306,0.9669259786605836,resnet50,fgsm,0.03,11.385090827941896,0.8677365183830261,True
True,0.9758192896842957,0.8607722520828247,0.9758192896842957,0.8607722520828247,resnet50,fgsm,0.03,10.03932285308838,0.8404344916343689,True
True,0.9897390007972716,0.942257046699524,0.9897390007972716,0.942257046699524,resnet50,fgsm,0.03,11.12307071685791,0.852317750453949,True
False,0.9839502573013306,0.133884459733963,0.9839502573013306,0.135600745677948,resnet50,fgsm,0.03,11.616466522216797,0.7266210317611694,True
True,0.9927204847335817,0.969545304775238,0.9927204847335817,0.969545304775238,resnet50,fgsm,0.03,11.630841255187988,0.8652145266532898,True
True,0.9980854988098145,0.9642261862754822,0.9980854988098145,0.9642261862754822,resnet50,fgsm,0.03,11.633697509765623,0.853346586227417,True
True,0.995464026927948,0.1995198875665664,0.995464026927948,0.1995198875665664,resnet50,fgsm,0.03,11.586585998535156,0.8651077747344971,True
True,0.9979957342147828,0.9740331172943116,0.9979957342147828,0.9740331172943116,resnet50,fgsm,0.03,11.556476593017578,0.8732182383537292,True
True,0.9941357374191284,0.9780729413032532,0.9941357374191284,0.9780729413032532,resnet50,fgsm,0.03,11.46452808380127,0.8283896446228027,True
True,0.995613694190979,0.977912962436676,0.995613694190979,0.977912962436676,resnet50,fgsm,0.03,11.622941970825195,0.7807857394218445,True
