adv_correct_classification,clean_true_prob,adv_true_prob,clean_max_prob,adv_max_prob,model,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9986686706542968,0.0015707048587501,0.9986686706542968,0.950913906097412,vgg16,cw,20.0,1.710505723953247,0.997982382774353,True
False,0.999997854232788,4.601696855388582e-05,0.999997854232788,0.7807502150535583,vgg16,cw,20.0,2.0457077026367188,0.9942198991775512,True
False,0.9999802112579346,1.056679684552364e-05,0.9999802112579346,0.9846498370170592,vgg16,cw,20.0,3.207341194152832,0.9866854548454284,True
False,0.9998633861541748,5.598920438387722e-07,0.9998633861541748,0.9854792356491088,vgg16,cw,20.0,4.9128522872924805,0.962289333343506,True
False,0.9992608428001404,0.0014220410957932,0.9992608428001404,0.9969197511672974,vgg16,cw,20.0,1.0804508924484253,0.9990389347076416,True
False,0.030653053894639,0.0306458882987499,0.2429003119468689,0.2430167645215988,vgg16,cw,20.0,0.0031064732465893,0.999997079372406,False
False,0.999935746192932,0.1027733087539672,0.999935746192932,0.5501114130020142,vgg16,cw,20.0,0.8101167678833008,0.9992031455039978,True
False,0.5263636112213135,0.000150021383888,0.5263636112213135,0.985985279083252,vgg16,cw,20.0,0.866320788860321,0.9984556436538696,True
False,0.9977656602859496,0.0001396032603224,0.9977656602859496,0.9996529817581176,vgg16,cw,20.0,1.9326233863830569,0.991733729839325,True
False,0.9028523564338684,0.0427261739969253,0.9028523564338684,0.7326018214225769,vgg16,cw,20.0,0.6483942270278931,0.999332845211029,True
False,0.9997742772102356,0.3862323760986328,0.9997742772102356,0.4019593298435211,vgg16,cw,20.0,0.8068470358848572,0.9985166788101196,True
False,0.9997931122779846,0.1347499638795852,0.9997931122779846,0.8582305312156677,vgg16,cw,20.0,1.145266056060791,0.9987501502037048,True
False,0.999991536140442,9.351879270980136e-06,0.999991536140442,0.6057987809181213,vgg16,cw,20.0,2.280487537384033,0.9953123927116394,True
False,0.9990241527557372,7.13902181814774e-08,0.9990241527557372,0.9454363584518432,vgg16,cw,20.0,4.267044544219971,0.9621970057487488,True
False,0.159641683101654,0.1596566587686538,0.2913488745689392,0.2913244068622589,vgg16,cw,20.0,0.0029552476480603,0.9999946355819702,False
False,0.9974865913391112,0.0864937454462051,0.9974865913391112,0.5327490568161011,vgg16,cw,20.0,0.7399418354034424,0.998572826385498,True
False,0.9984502792358398,0.0734088569879531,0.9984502792358398,0.6121746897697449,vgg16,cw,20.0,0.679428219795227,0.9993484020233154,True
False,0.7766604423522949,0.0091225439682602,0.7766604423522949,0.9804722666740416,vgg16,cw,20.0,0.7487534284591675,0.9984431266784668,True
False,0.999996304512024,0.0019573729950934,0.999996304512024,0.9956806898117064,vgg16,cw,20.0,1.273293375968933,0.9976899027824402,True
False,0.9906656742095948,0.0433436185121536,0.9906656742095948,0.6278770565986633,vgg16,cw,20.0,0.7243201732635498,0.9989089965820312,True
False,0.9999997615814208,0.0269004479050636,0.9999997615814208,0.9422467350959778,vgg16,cw,20.0,1.7615574598312378,0.9943015575408936,True
False,0.9883954524993896,0.0951653495430946,0.9883954524993896,0.7104678750038147,vgg16,cw,20.0,0.7073899507522583,0.999404788017273,True
False,0.9996254444122314,2.864784391931608e-07,0.9996254444122314,0.7839160561561584,vgg16,cw,20.0,3.4361352920532227,0.9848848581314088,True
False,0.9701716899871826,0.2891724705696106,0.9701716899871826,0.5268239378929138,vgg16,cw,20.0,0.7426174283027649,0.999287486076355,True
False,0.9454853534698486,0.2055246531963348,0.9454853534698486,0.3488298952579498,vgg16,cw,20.0,0.5624752044677734,0.9992671012878418,True
False,0.9999858140945436,6.992221983637137e-07,0.9999858140945436,0.9825507998466492,vgg16,cw,20.0,4.140443325042725,0.9658528566360474,True
False,0.9997695088386536,0.0378621071577072,0.9997695088386536,0.6752641201019287,vgg16,cw,20.0,0.8978295922279358,0.9986507296562196,True
False,0.9992355108261108,1.6578046597715002e-06,0.9992355108261108,0.994297444820404,vgg16,cw,20.0,4.086280345916748,0.9800325632095336,True
False,0.9999760389328004,0.0704908892512321,0.9999760389328004,0.7138707637786865,vgg16,cw,20.0,1.450062274932861,0.9963274002075196,True
False,0.9999938011169434,1.978779073397164e-05,0.9999938011169434,0.5743123888969421,vgg16,cw,20.0,2.2831313610076904,0.9941558837890624,True
False,0.9999996423721312,0.1397980004549026,0.9999996423721312,0.4478005468845367,vgg16,cw,20.0,1.5268913507461548,0.9951281547546388,True
False,1.0,0.0425903834402561,1.0,0.9247800707817078,vgg16,cw,20.0,2.6700961589813232,0.9885780811309814,True
False,0.9962312579154968,0.3567854166030884,0.9962312579154968,0.4606918096542358,vgg16,cw,20.0,0.6376490592956543,0.9994643926620485,True
False,0.9990648627281188,0.0003790049813687,0.9990648627281188,0.6085506677627563,vgg16,cw,20.0,2.49285101890564,0.9882711172103882,True
False,0.9953778982162476,7.214759534690529e-05,0.9953778982162476,0.9911113381385804,vgg16,cw,20.0,3.2541394233703613,0.9879819750785828,True
False,0.9999877214431764,0.1076544225215911,0.9999877214431764,0.3802812695503235,vgg16,cw,20.0,0.964628517627716,0.9976899027824402,True
False,0.915374755859375,0.0223349295556545,0.915374755859375,0.9391611218452454,vgg16,cw,20.0,0.6552659869194031,0.9992111921310424,True
False,0.9999494552612304,0.0782442763447761,0.9999494552612304,0.8547620177268982,vgg16,cw,20.0,0.856350839138031,0.9992066621780396,True
False,0.9993853569030762,0.0205171331763267,0.9993853569030762,0.7411512136459351,vgg16,cw,20.0,1.3512603044509888,0.9963144063949584,True
False,0.9997549653053284,0.202146515250206,0.9997549653053284,0.4080402553081512,vgg16,cw,20.0,0.9723321795463562,0.9978744387626648,True
False,0.9999982118606568,0.0001998958614422,0.9999982118606568,0.9948762059211732,vgg16,cw,20.0,3.522357702255249,0.989720582962036,True
False,0.9417855143547058,0.1663909256458282,0.9417855143547058,0.4330748617649078,vgg16,cw,20.0,0.4265187084674835,0.9997247457504272,True
False,0.9999994039535522,3.512090552248992e-05,0.9999994039535522,0.9953462481498718,vgg16,cw,20.0,3.177656412124634,0.9832252264022828,True
False,0.9983720183372498,2.8644540179811884e-06,0.9983720183372498,0.7797358632087708,vgg16,cw,20.0,3.3310842514038086,0.984275221824646,True
False,0.0354071334004402,0.0353943891823291,0.1467694044113159,0.1467292457818985,vgg16,cw,20.0,0.0033104359172284,0.9999997615814208,False
False,0.9999790191650392,0.000198275753064,0.9999790191650392,0.6818408966064453,vgg16,cw,20.0,1.9974075555801392,0.9943444132804872,True
False,1.0,0.0003044961486011,1.0,0.9644479155540466,vgg16,cw,20.0,2.5217480659484863,0.9907727241516112,True
False,0.8666601181030273,0.0203870981931686,0.8666601181030273,0.8637068867683411,vgg16,cw,20.0,0.538251519203186,0.999123215675354,True
False,0.999860405921936,0.1457387655973434,0.999860405921936,0.5968981385231018,vgg16,cw,20.0,1.1415256261825562,0.9968085289001464,True
False,0.9999668598175048,7.852246142192598e-08,0.9999668598175048,0.8183642029762268,vgg16,cw,20.0,3.701238870620728,0.9815729856491088,True
False,0.9915517568588256,2.302416305610677e-06,0.9915517568588256,0.9995136260986328,vgg16,cw,20.0,3.5928659439086914,0.9779620170593262,True
False,0.0096790427342057,0.0096772080287337,0.363995224237442,0.3640413880348205,vgg16,cw,20.0,0.0033851328771561,0.9999999403953552,False
False,0.3098236918449402,0.1087217852473259,0.3098236918449402,0.5614953637123108,vgg16,cw,20.0,0.2395230233669281,0.9999524354934692,True
False,0.9940568208694458,0.0825783163309097,0.9940568208694458,0.3320691883563995,vgg16,cw,20.0,0.6861650943756104,0.9993306994438172,True
False,0.8145831227302551,0.0131972972303628,0.8145831227302551,0.2154656499624252,vgg16,cw,20.0,0.572463870048523,0.999143362045288,True
